,id,label,n_tweets,n_mentions,country
237,1161,merlucaheart,2,0, Brazil
238,1162,imarajones,14,6, USA
240,1166,nicolaihaddal,7,0, USA
241,1174,notsoscify,3,0, UK
242,1193,tomandlorenzo,4,0, USA
243,1205,abbienbuenota,3,0, Mexico
245,1216,itsununnu,1,0,Brazil
246,1218,seifert_jim,1,0, USA
247,1229,donaajuana,1,1, USA
248,1230,ma_coriag,2,0, Mexico
250,1231,var_har9,1,0, India
251,1233,cleanthechurch,1,0, USA
252,1242,gbrockell,1,0, USA
253,1254,manumanito,1,0, Mexico
254,1256,abdisdone,1,0, USA
255,1261,chelthompson99,1,0,United Kingdom
256,1267,michyssm,1,0, Mexico
257,1272,ncall_us,2,0,United States
258,1273,onewing_ladybug,1,0,United States
259,1275,harryjones10799,2,0, UK
260,1277,proctert,1,0, Canada
261,1279,dogisgood,3,1, USA
262,1282,jamesfranco_bb,1,0, Argentina
263,1292,joonsgooz,1,0, USA
264,1297,smchavin,2,0, USA
265,1304,aidpr19,1,0, Mexico
266,1315,heatherpaterson,9,0, UK
267,1326,fedelema_,2,0, Argentina
268,1327,kccitdark,1,0, USA
269,1328,nickfolio,3,0, USA
284,1330,seekreporttruth,2,0, USA
286,1335,agentcutiepie,1,0, USA
287,1337,dot_health,2,0, USA
288,1355,t_mewada,1,0, India
289,1361,veeta08,1,0, USA
290,1365,juniormoraleth,2,0,United States
291,1366,skymama65,1,0,United States
292,1369,mattivi28,1,0, USA
293,1379,justinffranco1,2,0, USA
294,1381,aynabong,1,0, Philippines
295,1382,anders_frieberg,1,0, USA
296,1384,gizmonalaraven,1,0,Gibraltar
297,1386,danieulalio,1,0,Brazil
298,1397,jaredathornton,2,0, USA
299,1401,litcampymatt,1,0, USA
300,1404,zavalaxmarii,1,0, Mexico
301,1408,itsmebeccam,1,1, USA
302,1412,xspiritdesirex,1,0, USA
303,1417,sarahkkennedy,1,0, USA
304,1422,charfogg38,1,0, USA
305,1424,faitmilluh,1,0, Canada
306,1425,cater_paul,1,0,United Kingdom
307,1433,guadaadachar,1,0,Argentina
308,1434,j_cesarr93,1,0,Peru
309,1436,rogersphilip101,1,0, UK
310,1440,imagine_garden,1,0, USA
311,1444,dotglen,1,0, USA
312,1451,titzi1982,2,0, Austria
314,1453,randallkane,2,0, USA
316,1458,kaferinee,1,0, USA
317,1463,shamizzack,1,0, USA
318,1473,cordeiro_nelia,1,0, Angola
319,1474,_itsjustjustin,1,0, USA
320,1476,margaretspena,1,0, USA
321,1482,usirausirausira,0,1, USA
322,1485,daisyveronicaxo,2,0, USA
323,1489,vanjarodparis,1,0, Mexico
324,1492,kathyjiron,1,0, USA
325,1495,medical1540,1,0, South Korea
326,1496,queerkoreasex,0,1, South Korea
331,1508,nyphospital,1,0, USA
332,1509,starcurlie,1,0, USA
333,1513,iniiii5,1,0,Nigeria
334,1520,montuckan,1,0, USA
335,1523,thesunsux,5,0,United States
336,1524,odosreis5,1,0,United States
337,1538,isidro00,4,0, USA
338,1539,ericrink,4,0, USA
339,1541,sarah052794,5,0, USA
343,1565,danirray,1,0, Spain
344,1568,matt_corbishley,2,0, UK
345,1572,pitterpatter31,1,0, Guam
346,1581,mae_sleeman,1,0, Canada
347,1589,michaelahammes,1,0, Germany
348,1598,lapride,0,2, USA
350,1618,chipunk71,2,0, USA
351,1620,theyoheibeast,2,0, Mexico
352,1627,ksucarlos,4,0, USA
353,1632,tvwizard85,3,0, USA
357,1666,jmbtyy_,1,0, USA
358,1672,tayalm175,5,0, UK
359,1674,lukewill101,2,0,United Kingdom
360,1684,markanthonysatx,2,0, USA
361,1685,kimtwi829,4,0, USA
362,1687,naejcb,1,0, Brazil
363,1691,dorthahise,2,0, USA
365,1692,loviingcabello,2,0,Greece
366,1716,addiesbitch,1,0, Brazil
367,1717,impulsivewoman,5,0, USA
370,1719,j2mjoy,1,0,New Zealand
371,1724,matt_wulff,4,0, USA
372,1727,writer6,1,0, USA
373,1730,iamtheaardvark,1,0, USA
374,1743,suzannehatesyou,2,0, USA
375,1748,gradam1,1,0, USA
376,1750,gimli0413,2,0, USA
377,1753,johncasely,1,0, Brazil
378,1755,spenceerrr,2,0, USA
379,1756,jmmart_2012,1,0, USA
380,1764,jmal1039,1,0, USA
381,1768,noemibsrrientos,1,0, USA
382,1772,kinto639,1,0, USA
383,1780,rushadthomas,1,0, USA
384,1781,spaceysharkyuri,1,0, USA
385,1782,accessfreely,1,0, USA
386,1784,mikehalden,1,0, USA
387,1787,elevendayslater,1,0,Australia
388,1793,hat_dogg,2,0, Ireland
389,1794,yaralaris,1,0, Brazil
390,1812,blazing_gigs,1,0, Canada
391,1814,pauvargasch,1,0, Mexico
392,1816,viacomvelocity,3,1, USA
393,1821,glaad,0,123,United States
395,1823,cantarella_rose,1,0, USA
396,1824,seanyodarouse,1,0, USA
397,1826,mummymans,1,0, USA
398,1838,nicholasguille6,1,0, USA
399,1840,fenix_troia,1,0, Portugal
400,1842,andrewctenor,1,0, Canada
401,1848,bennybotros,1,0, USA
402,1849,robwillb,1,0, UK
403,1858,iamsheadiamond,0,3, USA
404,1859,tmcqu33n,1,0, USA
405,1865,luckygirlsshop,17,0, USA
467,1874,offleashpr,1,0, USA
468,1876,mreckgm,2,0, USA
469,1880,7abricio,3,0, Venezuela
470,1890,lezore26,1,0,Czechia
471,1896,_peterpanne,1,0, USA
472,1901,robinnewmanbook,1,0, USA
473,1904,burberryant,1,0, USA
475,1908,educationweek,2,1, USA
477,1910,cambridgefella,1,0, UK
478,1911,ohemgeelizabeth,1,0, USA
479,1927,gittelspawn,1,0, Poland
480,1928,scottgr60613,3,1, USA
482,1929,littleriky,1,0, UK
483,1939,chmb1999,2,0, Brazil
484,1940,pheazandt,1,0, USA
485,1941,tonykchoi,1,0, USA
486,1943,literarycandy,5,0, USA
489,1949,schizmishajodie,1,0, France
490,1951,suzannejkim,1,0, USA
491,1961,bevhenwood,1,0, UK
492,1970,fjbeecher,2,0, UK
493,1973,hidden_signs,6,0, USA
499,1974,bogiperson,1,0, USA
500,1978,gardnerphil,2,0, USA
501,1980,inigio_,1,0, USA
502,1998,aubinewbie,12,0,France
510,2012,geoffrey_thathi,1,0,Kenya
511,2017,briananthmdna1,1,0, Ireland
512,2020,starnitemare,1,0, USA
513,2021,import_woke,1,0,United States
514,2028,injtokyo,3,0, Japan
516,2037,pw11rep,1,0, USA
517,2039,cat_mama_neal,3,0, USA
518,2040,rob_creighton,3,0, USA
520,2049,librariesval,1,0, USA
521,2051,bridget_pgh,1,0, USA
522,2058,transam0202,1,0,United States
523,2059,jarue369,0,37, USA
525,2069,barelybryant,1,0, USA
526,2070,queenalesiaa,1,0, USA
527,2078,mar_pasan,3,3, Mexico
530,2084,lisamathieson1,1,0, Canada
531,2087,rozluznienie,1,0, UK
532,2091,gonzalisimoq,1,0, Argentina
533,2096,rubendiazjr,2,1, USA
534,2102,poohdabear,1,0, USA
535,2125,samshaw66,1,0, UK
536,2128,clownsoap,1,0, USA
537,2129,thewebbix,1,0, USA
538,2148,microlasticfan,1,0, USA
539,2160,flimsyfantasies,1,0,United States
540,2163,wrhuradio,4,1, USA
541,2168,merry_loy,1,0, USA
542,2178,taniaamedina,1,0, Mexico
543,2180,bright8694,1,0, USA
544,2181,shurimon,1,0, USA
545,2183,pbshawaii,1,0, USA
546,2184,honoka12221,3,0, Japan
547,2191,linseyvmartin,1,0, Canada
548,2202,revistaclimax,4,0,Venezuela
552,2205,literallycait,0,1, USA
553,2206,onf,1,0, Canada
554,2208,mickaylaaaaaa,2,0, USA
555,2210,judithmedson,1,0, USA
556,2211,victorpcorona,2,1, USA
557,2214,willow_harmony,1,0, USA
558,2216,rhungrygator,1,0, USA
559,2221,uc_radio,2,0, Mexico
561,2233,rguezcheca,1,0, Spain
562,2249,tactomedio,1,0,Peru
563,2254,gabboggie,1,0,El Salvador
564,2265,cqr111,1,0, Spain
565,2266,minhtngo,1,0, USA
566,2270,friendoflippy2,1,0, USA
567,2275,robotafterbirth,1,0, USA
568,2276,korvrepax,7,0, USA
575,2277,bmtdamfandom,3,0, USA
576,2285,mmppaabb,1,0,Spain
577,2290,sammygraham,1,0, USA
578,2293,treshornyboys,1,0, USA
579,2295,hxctorc,2,0, USA
580,2296,leeleeb50,1,0, USA
581,2307,krzrl_,1,0, Canada
582,2340,celebzxoxo,2,0, Thailand
584,2341,faggybud,0,6, USA
585,2342,terrydactyl002,1,0, USA
586,2346,real_poh,1,0,Asia
587,2366,subtopewdiepei,1,0, USA
588,2372,moosekababs,1,0, USA
589,2376,alainaskeys,1,0, USA
590,2378,alex_flores07,1,0, USA
591,2381,major_kk,1,0, USA
592,2383,vmyers1995,2,0, USA
593,2387,andibutler,1,0, USA
594,2390,aduke5,1,0, USA
595,2398,reanexos,1,0, Brazil
596,2400,efiocco,1,0, USA
597,2402,k2rm,1,0, USA
598,2403,jvhellew,0,2,United States
599,2408,rapplerdotcom,0,13,Philippines
600,2413,tpeandjelly727,1,0, USA
601,2438,fefeskies,1,0, Brazil
602,2440,mrwhitehawt,3,0,Canada
603,2446,mamshie427,1,0, Philippines
604,2450,janethawks,1,0, USA
605,2451,transvelma,1,0, USA
606,2457,orlandomediaco,1,0, Canada
607,2469,gooch_elizabeth,1,0, USA
608,2482,johnharveyphoto,1,0, Australia
609,2488,joy_ahhh,2,0, USA
610,2493,melinasr,2,0, USA
611,2494,killian_harnish,4,0, USA
612,2495,zamorarub,1,0, Mexico
613,2496,escandalamx,0,1, Mexico
614,2497,_sheriberi,2,0, USA
615,2502,maapatl,1,1, USA
621,2513,1brightrainbow,1,0, USA
622,2525,akasuasakura,1,0,Mexico
623,2529,miharenren,1,0, USA
624,2532,bsholmes,2,0, USA
625,2533,electroboyusa,3,0, USA
628,2535,timmmyk,1,0, Estonia
629,2540,zzippycorgi11,1,0, USA
630,2541,foundergym,2,1, USA
631,2542,bexque1019,1,0,United States
632,2549,ineslsilva,1,0,Portugal
633,2555,cryingcarson,2,0, USA
634,2556,rozzcoe,1,1, USA
635,2570,jrcorralesph,1,0, Philippines
636,2572,suzysayshi2u,1,0, USA
637,2576,tt_34722,1,0,Thailand
638,2583,vjanddeadpool,1,0, USA
639,2584,ginnywoes,4,0, New Zealand
640,2604,yardchick216,1,0, USA
641,2608,ds__riley,1,0, USA
642,2611,asd23570,1,0, Taiwan
643,2613,getaylorcat13,4,0, USA
645,2620,salinaseri_,1,0, Paraguay
646,2623,darktowers,1,0, USA
647,2630,tfitzsimons,2,3, USA
649,2631,inespalharess,1,0, Portugal
650,2639,akemor,1,0, USA
