,from, to, weight, directed
318,426,431,1,True
319,426,432,1,True
320,426,433,1,True
321,434,435,2,True
322,436,437,1,True
323,438,439,1,True
324,440,109,1,True
325,441,442,1,True
326,443,444,1,True
327,445,446,1,True
328,447,448,2,True
329,449,450,1,True
330,451,447,1,True
331,451,448,1,True
332,452,453,1,True
333,452,454,1,True
334,455,456,1,True
335,457,21,1,True
336,458,459,1,True
337,460,21,1,True
338,461,462,1,True
339,463,97,1,True
340,464,465,1,True
341,464,466,1,True
342,467,468,1,True
343,469,470,1,True
344,471,472,1,True
345,473,279,1,True
346,474,101,1,True
347,474,102,1,True
348,475,436,1,True
349,475,437,1,True
350,476,447,1,True
351,476,448,1,True
352,477,478,1,True
353,477,479,1,True
354,477,480,1,True
355,477,481,1,True
356,482,483,10,True
357,477,484,1,True
358,477,485,1,True
359,477,486,1,True
360,477,487,1,True
361,488,489,1,True
362,490,491,1,True
363,490,492,1,True
364,493,494,1,True
365,495,496,1,True
366,497,1,1,True
367,498,499,1,True
368,500,94,1,True
369,500,95,1,True
370,501,502,1,True
371,501,503,1,True
372,501,504,1,True
373,501,505,1,True
374,501,506,1,True
375,501,507,1,True
376,501,508,1,True
377,509,510,1,True
378,509,511,1,True
379,512,114,1,True
380,513,514,1,True
381,515,516,1,True
382,517,518,1,True
383,519,520,4,True
384,521,1,1,True
385,522,316,1,True
386,523,524,1,True
387,523,525,1,True
388,523,526,1,True
389,527,494,1,True
390,528,436,1,True
391,528,437,1,True
392,529,97,1,True
393,530,436,1,True
394,530,437,1,True
395,531,109,1,True
396,532,517,1,True
397,532,518,1,True
398,533,534,1,True
399,535,536,1,True
400,537,538,1,True
401,539,540,1,True
402,541,542,1,True
403,541,543,1,True
404,544,545,1,True
405,546,49,1,True
406,547,21,1,True
407,548,549,1,True
408,548,550,1,True
409,548,551,1,True
410,552,553,1,True
411,552,309,1,True
412,554,555,1,True
413,554,556,1,True
414,557,558,1,True
415,559,47,1,True
416,560,427,1,True
417,560,428,1,True
418,560,429,1,True
419,560,430,1,True
420,560,431,1,True
421,560,432,1,True
422,560,433,1,True
423,561,1,1,True
424,562,563,1,True
425,564,565,1,True
426,566,567,1,True
427,568,101,1,True
428,568,102,1,True
