,from, to, weight, directed
6467,7129,7130,1,True
6468,7131,6904,1,True
6469,7132,7133,1,True
6470,7132,7134,1,True
6471,7132,7135,1,True
6472,7136,1984,1,True
6473,7137,6097,1,True
6474,7138,7139,1,True
6475,7140,7141,1,True
6476,7142,7143,1,True
6477,7144,6248,1,True
6478,7144,7145,1,True
6479,7146,7143,1,True
6480,7147,4783,1,True
6481,3051,7148,2,True
6482,7149,6336,1,True
6483,7150,7151,1,True
6484,7152,922,1,True
6485,7153,7052,1,True
6486,7153,7053,1,True
6487,7154,6640,1,True
6488,7155,4621,2,True
6489,7156,7143,1,True
6490,7157,7143,1,True
6491,7158,7143,1,True
6492,7159,7070,1,True
6493,7159,7071,2,True
6494,7159,7072,2,True
6495,7160,7049,1,True
6496,7161,6697,1,True
6497,7162,7163,1,True
6498,7162,7164,1,True
6499,7162,7165,1,True
6500,7166,7167,1,True
6501,7168,7169,1,True
6502,7170,7171,1,True
6503,7172,7130,1,True
6504,7173,6651,1,True
6505,7174,114,2,True
6506,7175,7143,1,True
6507,7176,7177,1,True
6508,7178,7179,1,True
6509,7180,7181,1,True
6510,7182,7183,1,True
6511,7184,7130,1,True
6512,7185,7186,1,True
6513,7187,5289,1,True
6514,7188,309,1,True
6515,7189,7190,1,True
6516,7189,7191,1,True
6517,7192,5152,1,True
6518,7193,6488,1,True
6519,7194,7195,1,True
6520,7196,7195,1,True
6521,7197,7143,1,True
6522,7198,7199,1,True
6523,7200,5289,1,True
6524,7201,2959,1,True
6525,7202,7203,1,True
6526,7204,7205,1,True
6527,7206,7195,1,True
6528,7207,5152,1,True
6529,7208,114,1,True
6530,7209,2261,1,True
6531,7210,6371,1,True
6532,1314,156,1,True
6533,7211,7049,1,True
6534,7212,5152,1,True
6535,7213,4020,1,True
6536,7213,7214,1,True
6537,7215,7143,1,True
6538,7216,7143,1,True
6539,7217,7195,1,True
6540,7218,5786,1,True
6541,7219,7220,1,True
6542,7221,7222,1,True
6543,7223,5980,1,True
6544,7223,5981,1,True
6545,7223,5982,1,True
6546,7224,6332,1,True
6547,7225,5289,1,True
6548,7226,6882,1,True
6549,7226,6883,1,True
6550,7227,7143,1,True
6551,7228,4675,1,True
6552,7228,5057,1,True
6553,7229,6596,1,True
6554,7230,6776,1,True
6555,7231,7232,1,True
6556,7233,7143,1,True
6557,7234,7235,1,True
6558,7234,7236,1,True
6559,7234,7237,1,True
6560,7234,7238,1,True
6561,7234,7239,1,True
6562,7234,7240,1,True
6563,7241,7169,1,True
6564,7242,5793,1,True
6565,7243,7244,1,True
6566,7245,7244,1,True
6567,7246,7247,1,True
6568,7248,6915,1,True
6569,7249,7250,1,True
6570,7251,6501,1,True
6571,7252,7253,1,True
6572,7254,7255,1,True
6573,7256,7167,1,True
6574,7257,7143,1,True
6575,7258,7259,1,True
6576,7260,7139,1,True
6577,7261,3051,1,True
6578,7262,6891,1,True
6579,7262,6892,1,True
6580,7263,7264,1,True
6581,7265,7195,1,True
6582,7266,7267,1,True
6583,7268,7035,1,True
6584,7269,7130,1,True
6585,7270,7271,1,True
6586,7272,7273,1,True
6587,7272,7274,1,True
6588,7275,6891,1,True
6589,7275,6892,1,True
6590,7276,1150,1,True
6591,7277,7278,2,True
6592,7279,6911,1,True
6593,7279,6912,1,True
6594,7280,6420,1,True
6595,7280,6421,1,True
6596,7280,6422,1,True
6597,7280,6423,1,True
6598,7281,7282,1,True
6599,7283,114,1,True
6600,7284,6371,1,True
6601,7285,4783,1,True
6602,7286,2059,1,True
6603,7287,6340,1,True
6604,7288,7098,1,True
6605,7289,7290,1,True
6606,7291,7049,1,True
6607,7292,7293,1,True
6608,7292,7294,1,True
6609,7295,7143,1,True
6610,7296,2845,1,True
6611,7297,6275,1,True
6612,7297,6276,1,True
6613,7298,7143,1,True
6614,7299,4783,1,True
6615,7300,7143,1,True
6616,7301,7302,1,True
6617,7303,1771,1,True
6618,7304,7244,1,True
6619,7305,6953,1,True
6620,7296,6040,1,True
6621,7306,7143,1,True
6622,7307,6693,1,True
6623,7308,7143,1,True
6624,7309,6183,1,True
6625,7310,7143,1,True
6626,7311,7312,1,True
6627,7311,1321,1,True
6628,7313,7176,1,True
6629,7313,7177,1,True
6630,7314,7315,1,True
6631,7316,7042,1,True
6632,7317,7318,1,True
6633,7317,7317,1,True
6634,7319,7143,1,True
6635,7320,6225,1,True
6636,7321,4220,1,True
6637,7322,7323,1,True
6638,7324,7325,1,True
6639,7324,7326,1,True
6640,7327,7143,1,True
6641,7328,7329,1,True
6642,7330,6501,1,True
6643,7331,7332,1,True
6644,7321,6865,1,True
6645,7333,7143,1,True
6646,7334,399,1,True
6647,7334,7335,1,True
6648,7334,7336,1,True
6649,7334,7334,1,True
6650,7334,7337,1,True
6651,7338,6596,1,True
6652,7339,7340,1,True
6653,7341,7342,1,True
6654,7341,7343,1,True
6655,7344,7345,1,True
6656,7346,7141,1,True
6657,7347,922,1,True
6658,7348,7143,1,True
6659,7349,2845,1,True
6660,7350,7351,1,True
6661,7352,5152,1,True
6662,7353,6943,1,True
6663,7354,6911,1,True
6664,7354,6912,1,True
6665,7355,7356,1,True
6666,7355,6779,1,True
6667,7357,7358,1,True
6668,7357,7359,1,True
6669,7360,5736,1,True
6670,7361,7362,1,True
6671,7363,7364,1,True
6672,6993,7365,1,True
6673,7366,7143,1,True
6674,7367,6596,1,True
6675,7368,7369,1,True
6676,7370,5152,1,True
6677,7371,7143,1,True
6678,7372,7373,1,True
6679,7374,6121,1,True
6680,7375,6693,1,True
6681,7376,2845,1,True
6682,7377,7378,1,True
6683,7379,7380,1,True
6684,7381,196,1,True
6685,7381,393,1,True
6686,7382,3051,1,True
6687,7383,7143,1,True
6688,7384,6336,1,True
6689,7385,7143,1,True
6690,7386,7387,1,True
6691,7388,6891,1,True
6692,7388,6892,1,True
6693,7389,7293,1,True
6694,7389,7294,1,True
6695,7390,7391,1,True
6696,7392,6501,1,True
6697,7393,7224,1,True
6698,7393,6332,1,True
6699,7394,7395,1,True
6700,7396,7244,1,True
6701,7397,6371,1,True
6702,7398,7329,1,True
6703,7399,7329,1,True
6704,7400,7179,1,True
6705,7401,7402,1,True
6706,7403,7404,1,True
6707,7405,7049,1,True
6708,7406,7407,1,True
6709,7408,7143,1,True
6710,7401,6097,1,True
6711,7409,6911,1,True
6712,7409,6912,1,True
6713,7410,6672,1,True
6714,7411,7412,1,True
6715,7413,7244,1,True
6716,7414,7415,1,True
6717,7414,7416,1,True
6718,7417,109,1,True
6719,7418,5289,1,True
6720,7419,7420,1,True
6721,7419,7421,1,True
6722,7419,7422,1,True
6723,7419,7423,1,True
6724,7419,7424,1,True
6725,7419,7425,1,True
6726,7426,7052,1,True
6727,7426,7053,1,True
6728,7427,7244,1,True
6729,7428,6336,1,True
6730,7429,6336,1,True
6731,7430,6382,1,True
6732,7431,6971,1,True
6733,7432,7433,1,True
6734,7434,7195,1,True
6735,7435,7143,1,True
6736,7436,7437,1,True
6737,7438,7143,1,True
6738,7439,2059,1,True
6739,7440,7441,1,True
6740,7440,7442,1,True
6741,7372,7443,1,True
6742,7444,7445,1,True
6743,7446,3809,1,True
6744,7446,3810,1,True
6745,7447,7448,1,True
6746,7449,7450,1,True
6747,7451,4783,1,True
6748,7452,4301,1,True
6749,7453,6909,1,True
6750,7453,7454,1,True
6751,7453,6904,1,True
6752,7455,7456,1,True
6753,7457,7458,1,True
6754,7459,7459,1,True
6755,7460,4767,1,True
6756,7460,4768,1,True
6757,7461,7462,1,True
6758,7461,7463,1,True
6759,7464,7465,1,True
6760,7466,7130,1,True
6761,7467,7253,1,True
6762,7468,6983,1,True
6763,7469,280,1,True
6764,7470,6562,1,True
6765,7470,6563,1,True
6766,7471,7472,1,True
6767,7473,6675,1,True
6768,7474,7475,1,True
6769,7476,7437,1,True
6770,7477,7478,1,True
6771,7479,6183,1,True
6772,7480,7481,1,True
6773,7482,6693,1,True
6774,7483,7484,1,True
6775,7485,7486,1,True
6776,7487,7488,1,True
6777,7487,7489,1,True
6778,7490,7491,1,True
6779,7492,6911,1,True
6780,7492,6912,1,True
6781,7493,6340,1,True
6782,7494,6891,1,True
6783,7494,6892,1,True
6784,7495,6416,1,True
6785,7496,7139,1,True
6786,7497,7498,1,True
6787,7497,309,1,True
6788,7499,6336,1,True
6789,7500,7501,1,True
6790,7502,7503,1,True
6791,7504,7505,1,True
6792,7506,6983,1,True
6793,7507,7508,1,True
6794,7509,21,1,True
6795,7510,7475,1,True
6796,7511,7143,1,True
6797,7512,1320,1,True
6798,7512,936,1,True
6799,7513,7100,1,True
6800,7514,2261,1,True
6801,7515,7516,1,True
6802,7517,7010,1,True
6803,7518,5152,1,True
6804,7519,6693,1,True
6805,7520,7143,1,True
6806,7521,7522,1,True
6807,7523,7224,1,True
6808,7523,6332,1,True
6809,3998,7524,1,True
6810,7525,7526,1,True
6811,7527,7528,1,True
6812,7529,7530,1,True
6813,7529,7531,1,True
6814,7529,7532,1,True
6815,7529,7533,1,True
6816,7534,7535,1,True
6817,7536,7143,1,True
6818,7537,7538,1,True
6819,7539,7068,1,True
6820,7540,6869,1,True
6821,7541,7542,1,True
6822,7543,922,1,True
6823,7544,7143,1,True
6824,7545,7546,1,True
6825,7547,7332,1,True
6826,7548,6183,1,True
6827,7549,7098,1,True
6828,7550,6183,1,True
6829,7551,6911,1,True
6830,7551,6912,1,True
6831,7552,7553,1,True
6832,7552,7554,1,True
6833,7555,7049,1,True
6834,7556,1892,1,True
6835,7557,7542,1,True
6836,7558,6225,1,True
6837,7559,7560,1,True
6838,7561,4783,1,True
6839,7562,6255,1,True
6840,7563,7143,1,True
6841,7564,6776,1,True
6842,7565,7143,1,True
6843,7566,7567,1,True
6844,7568,6891,1,True
6845,7568,6892,1,True
6846,7569,1345,1,True
6847,7569,7570,1,True
6848,7571,7572,1,True
6849,7571,7573,1,True
6850,7571,7574,1,True
6851,7571,7575,1,True
6852,7571,7576,1,True
6853,7571,7577,1,True
6854,7571,7578,1,True
6855,7579,7143,1,True
6856,7580,5152,1,True
6857,7581,6904,1,True
6858,7582,1892,1,True
6859,7583,5607,1,True
6860,7584,7585,1,True
6861,7586,7587,1,True
6862,7588,7589,1,True
6863,7588,7590,1,True
6864,7591,2571,1,True
6865,7592,7052,1,True
6866,7592,7053,1,True
6867,7593,2261,1,True
6868,7594,7572,1,True
6869,7594,7573,1,True
6870,7594,7574,1,True
6871,7594,7575,1,True
6872,7594,7576,1,True
6873,7594,7577,1,True
6874,7594,7578,1,True
6875,7595,7362,1,True
6876,7596,6501,1,True
6877,7597,237,1,True
6878,7598,7599,1,True
6879,7600,7601,1,True
6880,7602,6651,1,True
6881,7603,5152,1,True
6882,7604,7605,1,True
6883,7604,7606,1,True
6884,7604,7607,1,True
6885,7608,282,1,True
6886,7608,7609,1,True
6887,7610,7611,1,True
6888,7610,7612,1,True
6889,7610,7613,1,True
6890,7610,7614,1,True
6891,7610,7615,1,True
6892,7616,7617,1,True
6893,7618,7619,1,True
6894,7620,7524,1,True
6895,7621,5289,1,True
6896,7622,6225,1,True
6897,7623,7624,1,True
6898,7625,7626,1,True
6899,7625,7627,1,True
6900,7628,7629,1,True
6901,7630,7143,1,True
6902,7631,7475,1,True
6903,4467,718,1,True
6904,7632,6869,1,True
6905,7633,4783,1,True
6906,7634,1188,1,True
6907,7635,6848,1,True
6908,7636,7624,1,True
6909,7637,7638,1,True
6910,5990,5991,1,True
6911,7639,7629,1,True
6912,7640,4704,1,True
6913,7641,7143,1,True
6914,7642,7643,3,True
6915,1465,7644,1,True
6916,1465,1822,1,True
6917,7645,6869,1,True
6918,7646,7624,1,True
6919,7647,7648,1,True
6920,7649,7143,1,True
6921,7650,7651,1,True
6922,7652,6371,1,True
6923,7653,6255,1,True
6924,7654,7655,1,True
6925,7656,7657,1,True
6926,7658,7657,1,True
6927,7659,7657,1,True
6928,7660,7049,1,True
6929,7661,6236,1,True
6930,7662,7657,1,True
6931,7663,7323,1,True
6932,7664,7657,1,True
6933,7665,7657,1,True
6934,7666,6340,1,True
6935,7667,7657,1,True
6936,7668,7657,1,True
6937,7669,7560,1,True
6938,7670,2428,1,True
6939,7670,2429,1,True
6940,7670,2430,1,True
6941,7670,2431,1,True
6942,7671,7657,1,True
6943,7672,7657,1,True
6944,7673,7657,1,True
6945,7674,7657,1,True
6946,7675,7657,1,True
6947,7676,4458,1,True
6948,7677,7657,1,True
6949,7678,7657,1,True
6950,7679,7657,1,True
6951,7680,7681,1,True
6952,7682,4201,1,True
6953,7682,4202,1,True
6954,7683,7684,1,True
6955,7685,7143,1,True
6956,7686,6596,1,True
6957,7687,7657,1,True
6958,7688,7681,1,True
6959,7689,7657,1,True
6960,7690,7657,1,True
6961,7691,7692,1,True
6962,294,294,1,True
6963,7693,7624,1,True
6964,7694,7657,1,True
6965,7695,7143,1,True
6966,7696,7657,1,True
6967,7697,7143,1,True
6968,7698,3541,1,True
6969,7699,7700,1,True
6970,7701,7624,1,True
6971,2709,7702,1,True
6972,7703,7143,1,True
6973,7704,7143,1,True
6974,7705,6562,1,True
6975,7705,6563,1,True
6976,7706,7583,1,True
6977,7706,5607,1,True
6978,7707,7380,1,True
6979,7708,7709,1,True
6980,7710,7657,1,True
6981,7711,7657,1,True
6982,7712,7035,1,True
6983,7713,3984,1,True
6984,7714,7657,1,True
6985,7715,7475,1,True
6986,7716,4783,1,True
6987,7717,7657,1,True
6988,7718,7719,1,True
6989,7718,7720,1,True
6990,7718,7240,1,True
6991,7721,7143,1,True
6992,7722,2428,1,True
6993,7722,2429,1,True
6994,7723,5289,1,True
6995,7724,5661,1,True
6996,7725,196,1,True
6997,7726,7100,1,True
6998,7727,7728,1,True
6999,7729,7098,1,True
7000,7730,6953,1,True
7001,7731,7732,1,True
7002,7731,7733,1,True
7003,7734,7735,1,True
7004,7736,7737,1,True
7005,7738,7739,1,True
7006,7740,7362,1,True
7007,7741,7742,1,True
7008,7743,7657,1,True
7009,7744,7744,1,True
7010,7745,7746,1,True
7011,7747,696,1,True
7012,7748,7749,1,True
7013,7750,6501,1,True
7014,7751,7657,1,True
7015,7752,6501,1,True
7016,7753,7130,1,True
7017,7754,7657,1,True
7018,7755,922,1,True
7019,7756,696,1,True
7020,7757,7757,1,True
7021,7758,7759,1,True
7022,7758,7760,1,True
7023,7758,7761,1,True
7024,7758,7762,1,True
7025,7758,7763,1,True
7026,7758,7764,1,True
7027,7758,7758,1,True
7028,7758,7765,1,True
7029,7758,7766,1,True
7030,7758,7767,1,True
7031,7758,7768,1,True
7032,7758,7769,1,True
7033,7758,7770,1,True
7034,7758,7771,1,True
7035,7758,7772,1,True
7036,7773,5289,1,True
7037,7774,7657,1,True
7038,7775,7143,1,True
7039,7776,7657,1,True
7040,7777,114,2,True
7041,7778,7779,1,True
7042,7780,7657,1,True
7043,7781,6596,1,True
7044,7782,7783,1,True
7045,7784,5289,1,True
7046,7785,6819,1,True
7047,7748,7786,1,True
7048,7787,7657,1,True
7049,7788,6416,1,True
7050,7789,7790,1,True
7051,7791,6501,1,True
7052,7792,6340,1,True
7053,7748,7793,1,True
7054,7794,7657,1,True
7055,7795,5289,1,True
7056,7796,6501,1,True
7057,7797,7798,1,True
7058,7797,7799,1,True
7059,7797,7800,1,True
7060,7797,7801,1,True
7061,7797,7802,1,True
7062,7797,7803,1,True
7063,7797,7804,1,True
7064,7797,7805,1,True
7065,7797,7806,1,True
7066,7797,7807,1,True
7067,7797,5171,1,True
7068,7797,7808,1,True
7069,7797,7809,1,True
7070,7810,7657,1,True
7071,7811,7339,1,True
7072,7811,7340,1,True
7073,7812,5289,1,True
7074,7813,7267,1,True
7075,7814,7657,1,True
7076,7815,114,2,True
7077,7816,6776,1,True
7078,7817,7818,1,True
7079,7819,1321,1,True
7080,7819,7820,1,True
7081,7819,7821,1,True
7082,7819,7822,2,True
7083,7819,7823,1,True
7084,7819,1316,2,True
7085,7819,262,2,True
7086,7819,7824,2,True
7087,7819,7825,2,True
7088,7819,3575,2,True
7089,7819,3584,1,True
7090,7819,7826,1,True
7091,7819,7827,1,True
7092,7819,7828,1,True
7093,7819,7829,1,True
7094,7819,7830,1,True
7095,7819,7831,1,True
7096,7819,7832,1,True
7097,7819,7833,1,True
7098,7834,4704,1,True
7099,7835,7657,1,True
7100,7836,7437,1,True
7101,7837,7402,1,True
7102,7838,7839,1,True
7103,7840,4783,1,True
7104,7841,7842,1,True
7105,7843,6336,1,True
7106,7844,7709,1,True
7107,7845,6255,1,True
7108,7846,6869,1,True
7109,7847,922,1,True
7110,7848,6891,1,True
7111,7848,6892,1,True
7112,7849,7849,1,True
7113,7850,7850,2,True
7114,7851,7290,1,True
7115,7852,6051,1,True
7116,7852,6052,1,True
7117,7853,7657,1,True
7118,7854,7709,1,True
7119,7855,7629,1,True
7120,7856,7857,1,True
7121,7858,2408,1,True
7122,7859,696,1,True
7123,7860,7861,1,True
7124,7862,7657,1,True
7125,7863,7864,1,True
7126,7865,7657,1,True
7127,7866,7624,1,True
7128,7867,3621,2,True
7129,7868,7869,1,True
7130,1200,7870,1,True
7131,7871,7681,1,True
7132,7872,7143,1,True
7133,7873,6953,1,True
7134,7874,7402,1,True
7135,7875,7876,1,True
7136,7877,6340,1,True
7137,7878,7879,1,True
7138,7880,7657,1,True
7139,7881,696,1,True
7140,7882,7883,1,True
7141,7884,6953,1,True
7142,7885,6779,1,True
7143,7886,7887,1,True
7144,7886,7888,1,True
7145,7886,7889,1,True
7146,7890,6382,1,True
7147,7891,5437,1,True
7148,7892,7624,1,True
7149,7893,6697,1,True
7150,7894,7657,1,True
7151,7895,7657,1,True
7152,7896,6697,1,True
7153,7897,7897,1,True
7154,7897,7898,1,True
7155,7897,7899,1,True
7156,7900,7143,1,True
7157,7901,7657,1,True
7158,7902,1542,1,True
7159,7903,6420,1,True
7160,7903,6421,1,True
7161,7903,6422,1,True
7162,7903,6423,1,True
7163,7904,7904,1,True
7164,7905,718,1,True
7165,7906,7143,1,True
7166,7907,7657,1,True
7167,7255,7908,1,True
7168,7909,7657,1,True
7169,7910,7911,1,True
7170,7912,7195,1,True
7171,3327,2736,2,True
7172,3327,2630,1,True
7173,7913,2159,1,True
7174,7914,7657,1,True
7175,7915,7049,1,True
7176,7916,7917,1,True
7177,7918,7143,1,True
7178,7919,7498,1,True
7179,7919,309,1,True
7180,7920,6911,1,True
7181,7920,6912,1,True
7182,7921,6501,1,True
7183,7922,7700,1,True
7184,7923,7052,1,True
7185,7923,7053,1,True
7186,7910,7657,1,True
7187,7924,6277,1,True
7188,7925,7657,1,True
7189,7926,7657,1,True
7190,7927,6051,1,True
7191,7927,6052,1,True
7192,7928,7929,1,True
7193,7930,237,1,True
7194,7931,6340,1,True
7195,7932,7933,1,True
7196,7934,7657,1,True
7197,7935,7657,1,True
7198,7936,7267,1,True
7199,7937,6855,1,True
7200,7938,5563,1,True
7201,7938,7939,1,True
7202,7940,7941,1,True
7203,7942,7657,1,True
7204,7943,7657,1,True
7205,7944,7244,1,True
7206,7945,7946,1,True
7207,7947,7657,1,True
7208,7948,6266,1,True
7209,7949,6693,1,True
7210,7950,7951,1,True
7211,7952,7657,1,True
7212,7953,7954,1,True
7213,7955,7956,1,True
7214,7957,7657,1,True
7215,7958,4783,1,True
7216,7959,7624,1,True
7217,7960,7657,1,True
7218,7961,6255,1,True
7219,7962,7963,1,True
7220,7964,7757,1,True
7221,7965,6693,1,True
7222,7966,7967,1,True
7223,7968,2736,2,True
7224,7968,2630,1,True
7225,7969,2471,1,True
7226,7970,7657,1,True
7227,7971,7972,1,True
7228,7971,7973,1,True
7229,7974,7100,1,True
7230,7975,7098,1,True
7231,7976,7883,1,True
7232,7977,7362,1,True
7233,7978,6819,1,True
7234,7979,7143,1,True
7235,7980,5152,1,True
7236,7981,4301,1,True
7237,7252,7657,1,True
7238,7982,3660,1,True
7239,7982,7983,1,True
7240,7984,7985,1,True
7241,7986,6697,1,True
7242,7987,7988,1,True
7243,7987,7989,1,True
7244,7990,7991,2,True
7245,7992,7657,1,True
7246,7993,7870,1,True
7247,7994,7130,1,True
7248,7995,2845,1,True
7249,7996,6336,1,True
7250,7997,6255,1,True
7251,7998,498,1,True
7252,7998,7998,1,True
7253,7998,7999,1,True
7254,7998,8000,1,True
7255,8001,7098,1,True
7256,8002,8003,1,True
7257,8004,6596,1,True
7258,8005,7657,1,True
7259,8006,7879,1,True
7260,8007,7244,1,True
7261,8008,7879,1,True
7262,8009,7657,1,True
7263,5606,8010,1,True
7264,5606,8011,1,True
7265,8012,7342,1,True
7266,8012,7343,1,True
7267,8013,8014,1,True
7268,8015,8016,1,True
7269,8017,8018,1,True
7270,8019,8020,1,True
7271,8021,7657,1,True
7272,8022,7657,1,True
7273,8023,5274,1,True
7274,8024,8025,1,True
7275,8026,8027,1,True
7276,8026,8028,1,True
7277,8029,7657,1,True
7278,8030,7657,1,True
7279,8031,4328,1,True
7280,8032,8032,1,True
7281,8033,8034,1,True
7282,8035,7657,1,True
7283,8036,8037,1,True
7284,8038,7143,1,True
7285,8039,8040,1,True
7286,8041,8042,1,True
7287,8043,8044,1,True
7288,8045,3245,1,True
7289,8046,8042,1,True
7290,8047,8048,1,True
7291,8049,5289,1,True
7292,8050,8051,1,True
7293,8052,6915,1,True
7294,3534,8053,1,True
7295,8054,8055,1,True
7296,8056,4783,1,True
7297,8057,7657,1,True
7298,8058,8059,1,True
7299,8058,8060,1,True
7300,8058,8061,1,True
7301,8058,8062,1,True
7302,8063,7329,1,True
7303,8064,8065,1,True
7304,8066,922,1,True
7305,8067,5289,1,True
7306,8068,1837,1,True
7307,8069,8070,1,True
7308,8071,4817,1,True
7309,8072,6336,1,True
7310,8073,8074,1,True
7311,8075,7481,1,True
7312,8076,196,1,True
7313,8076,197,1,True
7314,8077,6501,1,True
7315,8078,8079,1,True
7316,8025,8080,1,True
7317,8081,7244,1,True
7318,8082,6911,1,True
7319,8082,6912,1,True
7320,8083,8084,1,True
7321,8085,4256,1,True
7322,8086,8087,1,True
7323,8088,8089,1,True
7324,8090,8091,1,True
7325,8092,696,1,True
7326,8093,5289,1,True
7327,8094,7049,1,True
7328,8095,8096,1,True
7329,8095,8095,1,True
7330,8095,8097,1,True
7331,8095,8098,1,True
7332,8095,8099,1,True
7333,8100,8101,1,True
7334,8102,1188,1,True
7335,8103,7870,1,True
7336,8104,7143,1,True
7337,8105,8106,1,True
7338,8107,6915,1,True
7339,8107,8108,1,True
7340,8109,8110,1,True
7341,8109,8111,1,True
7342,7620,6225,1,True
7343,8112,7052,1,True
7344,8112,7053,1,True
7345,8113,8114,1,True
7346,8115,8116,1,True
7347,8117,8118,1,True
7348,8119,8120,1,True
7349,8121,7329,1,True
7350,8122,294,1,True
7351,8123,8124,1,True
7352,8125,7870,1,True
7353,8126,1,1,True
7354,8127,7143,1,True
7355,8128,6330,1,True
7356,8129,7169,1,True
7357,8130,8131,1,True
7358,8132,8133,1,True
7359,8132,2718,1,True
7360,8134,8025,1,True
7361,8134,8135,1,True
7362,8136,316,1,True
7363,8137,6404,1,True
7364,8138,8139,1,True
7365,6293,8140,2,True
7366,8141,8142,1,True
7367,8141,8143,1,True
7368,8141,8144,1,True
7369,8141,8145,1,True
7370,8146,7098,1,True
7371,8147,6953,1,True
7372,8148,7143,1,True
7373,8149,8150,1,True
7374,8151,8152,1,True
7375,8153,8154,1,True
7376,8155,7587,1,True
7377,8156,7624,1,True
7378,8157,6330,1,True
7379,8158,8159,1,True
7380,8160,109,1,True
7381,8161,7130,1,True
7382,8162,5661,1,True
7383,7995,7032,1,True
7384,8163,6086,1,True
7385,8164,7369,1,True
7386,8165,6911,1,True
7387,8165,6912,1,True
7388,8166,5960,1,True
7389,8167,6848,1,True
7390,8168,8169,2,True
7391,8168,8170,1,True
7392,8168,5880,1,True
7393,8168,8171,1,True
7394,8168,679,1,True
7395,8172,5289,1,True
7396,8173,696,1,True
7397,8174,8175,1,True
7398,8176,8177,1,True
7399,8178,8179,1,True
7400,8180,5289,1,True
7401,8181,8154,1,True
7402,8182,8183,1,True
7403,8184,7601,1,True
7404,8185,6382,1,True
7405,8186,8187,1,True
7406,8188,8189,1,True
7407,8188,8188,1,True
7408,8190,7139,1,True
7409,8191,1771,1,True
7410,8192,8193,1,True
7411,8194,8195,1,True
7412,8196,6133,1,True
7413,8197,8198,1,True
7414,8199,5661,1,True
7415,8200,8013,1,True
7416,8200,8014,1,True
7417,8201,7267,1,True
7418,8202,5289,1,True
7419,8203,381,2,True
7420,8204,6953,1,True
7421,8205,8206,1,True
7422,8205,8207,1,True
7423,8208,8209,1,True
7424,8210,8211,1,True
7425,8212,7167,1,True
7426,8213,5980,1,True
7427,8213,5981,1,True
7428,8213,5982,1,True
7429,8214,8214,1,True
7430,8214,8215,1,True
7431,8214,8216,1,True
7432,8217,8218,1,True
7433,8217,8219,1,True
7434,8217,8220,2,True
7435,8217,8221,1,True
7436,8217,8222,1,True
7437,8217,8223,1,True
7438,8217,8224,1,True
7439,8217,8225,1,True
7440,8217,8217,1,True
7441,8217,5170,1,True
7442,8217,5169,1,True
7443,8226,8227,1,True
7444,8228,922,1,True
7445,981,8229,2,True
7446,8230,714,1,True
7447,8231,6596,1,True
7448,8232,8233,1,True
7449,8234,7879,1,True
7450,8235,4783,1,True
7451,8236,7133,1,True
7452,8236,7134,1,True
7453,8236,7135,1,True
7454,8237,3175,1,True
7455,8238,5215,1,True
7456,8238,5216,1,True
7457,8239,6809,1,True
7458,8240,8241,1,True
7459,8242,8243,1,True
7460,8242,8244,1,True
7461,8245,8246,1,True
7462,8247,8248,1,True
7463,8249,8250,1,True
7464,8251,8252,1,True
7465,8253,7879,1,True
7466,8254,8255,1,True
7467,8256,3541,1,True
7468,8257,4220,1,True
7469,8258,8259,1,True
7470,8260,6501,1,True
7471,8261,8252,1,True
7472,8262,696,1,True
7473,8263,8264,1,True
7474,8265,8266,1,True
7475,8267,134,1,True
7476,8268,8269,1,True
7477,8270,7879,1,True
7478,8271,8272,1,True
7479,8273,269,1,True
7480,8274,7098,1,True
7481,8275,6953,1,True
7482,8276,8277,1,True
7483,8278,8279,1,True
7484,8278,184,1,True
7485,8278,8280,1,True
7486,8278,8281,1,True
7487,8282,8283,1,True
7488,8284,381,3,True
7489,8285,8286,1,True
7490,8285,388,1,True
7491,8287,6953,1,True
7492,8288,7362,1,True
7493,8289,8290,2,True
7494,8291,6672,1,True
7495,8292,8293,1,True
7496,8294,8295,1,True
7497,8296,7143,1,True
7498,8297,8298,1,True
7499,8297,8299,1,True
7500,8300,7100,1,True
7501,5344,7100,1,True
7502,8301,1839,1,True
7503,8302,2845,1,True
7504,8303,696,1,True
7505,8304,8305,1,True
7506,8306,8101,1,True
7507,8307,5164,1,True
7508,8308,2647,1,True
7509,8309,8305,1,True
7510,689,114,6,True
7511,8310,8305,1,True
7512,8311,6262,1,True
7513,8312,8313,1,True
7514,8314,7560,1,True
7515,8315,8209,1,True
7516,8316,8317,1,True
7517,8316,8318,1,True
7518,8319,4783,1,True
7519,8320,8305,1,True
7520,8321,6340,1,True
7521,8322,7709,1,True
7522,8323,8324,1,True
7523,8325,8326,1,True
7524,3243,139,1,True
7525,3243,8327,1,True
7526,3243,8328,1,True
7527,3243,8329,1,True
7528,8330,8187,1,True
7529,8331,4783,1,True
7530,8332,8332,1,True
7531,6349,8333,1,True
7532,8334,8305,1,True
7533,8335,8336,1,True
7534,8337,8338,1,True
7535,8339,8340,1,True
7536,8341,6501,1,True
7537,8342,8343,1,True
7538,8344,6121,1,True
7539,8345,8206,1,True
7540,8345,8207,1,True
7541,8346,8305,1,True
7542,8347,8348,1,True
7543,8349,8317,1,True
7544,8349,8318,1,True
7545,8350,8351,1,True
7546,8352,8353,1,True
