id,label,n_tweets,n_mentions
248,schoolpolicepbc,0,1
249,compasscenter,0,1
250,jengarson,0,1
251,harveymunro3,2,0
252,youtubeindia,0,2
253,chescaleigh,0,1
254,critical_kitkat,1,1
255,bistateservices,1,0
256,bhoardsbooks,2,0
257,bookish_heights,0,3
258,penguinplatform,2,3
259,prolificlondon,6,0
260,charlie_craggs,0,2
261,elviscomms,0,2
262,prideinlondon,0,20
263,tat2much,1,0
264,globallgbtnews,1,1
265,gaytimesmag,0,1
266,melvinfwriter,1,0
267,ernestoorsetti,4,0
268,sales_tiago,0,1
269,parrow_,1,6
270,gavdob,1,1
271,michaelkors,0,7
272,dannylabby,1,0
273,razzy_lee,0,2
274,childrensctr42,1,0
275,swdooley,0,1
276,indieebooksday,2,0
277,adeniverville,0,1
278,arielledenise,1,0
279,famu_1887,0,2
280,nyscasa,1,1
281,nrcdv,0,1
282,thervt,0,2
283,cherrymischivus,2,0
284,bloomsburykids,0,1
285,stampepk,0,1
286,hansolalisa,1,0
287,kevin_iredell,1,0
288,lowensteinllp,0,1
289,regionsnews,4,2
290,askregions,0,2
291,maecatt,1,0
292,artlyndaxy,0,2
293,bersl2,2,0
294,binanimals,1,6
295,au_magazine,10,0
296,joeede,0,1
297,avramf,0,1
298,mjrodriguez7,0,1
299,its_jojobear,0,1
300,revyolanda,0,1
301,bobbeetrans,0,1
302,deafwoof,0,1
303,daleguymadison,0,1
304,gildawabbit,0,1
305,theadambshapiro,0,1
306,kentond,1,0
307,matilda_y28,2,0
308,elliottkozuch,0,2
309,hrc,11,138
310,desmanofsteel,1,0
311,ywcanewbritain,1,0
312,theskimm,0,1
313,blowtools_off,1,0
314,elinepain,0,1
315,phveilleux1,1,0
316,lgbtqnation,21,36
317,risottoart,1,0
318,norabrmark,0,1
319,opcionsecuador,2,0
320,kgarzons,0,1
321,christian_16ec,0,1
322,shddib,1,0
323,itsrizha,0,1
324,nayrojas_,1,0
325,estefaniatelis,0,1
326,mspearlmaglinte,1,0
327,thepugtao421,1,0
328,lexipuparts,0,1
329,robt5519kelly,12,0
330,elizabethsmthwk,1,0
331,webcomicupdates,1,8
332,eye2733,1,0
333,ajidasjp,1,0
334,vocativ,0,1
335,samethesun,1,0
336,bigsloppy7,1,0
337,publicginocide,1,1
338,gyja3,1,0
339,nohalifefast,0,1
340,merlin8thomas,2,0
341,panagiotizoi,1,0
342,lure_89,1,0
343,coffeyorky,0,2
344,hoseokini,1,0
345,jhopian,0,2
346,orneprtz,1,0
347,alexhaustedd,0,2
348,baebyjun,2,0
349,sundaeboyph,0,1
350,airasiafilipino,0,1
351,ceothcc1,3,0
352,cesarchavezaz,0,5
353,ricardolara4ca,0,1
354,azlatinolc,0,1
355,detroitshoreway,2,0
356,capitolw65th,0,1
357,lgbtcleveland,0,1
358,joewaters,10,0
359,markwschaefer,0,1
360,bgca_clubs,0,1
361,engageforgood,0,1
362,partnershipshq,0,1
363,thisissethsblog,0,1
364,seedsofafrica,0,1
365,adl,1,5
366,unitedway,0,1
367,warbyparker,0,1
368,usatoday,0,5
369,frances03749272,1,0
370,iass_network,1,1
371,octopus_eye,1,0
372,octeeo,0,2
373,lowesarm,1,0
374,iamedrian_,0,2
375,hatfrana,1,0
376,billboard,3,33
377,ourtransfam,3,0
378,splendidcomms,0,1
379,queermurphys,0,2
380,foxpastry,6,0
381,carcinloring,0,95
382,beatlefan14,1,0
383,verobustos,3,0
384,rm_fiebre,0,1
385,rmwebteam,0,2
386,ricky_martin,0,2
387,repraulgrijalva,1,1
388,senatorbaldwin,0,10
389,davidleedesign,1,0
390,vauvent,1,0
391,teachertong,0,1
392,milkymiles25,2,0
393,idinamenzel,0,36
394,1lisho,1,0
395,utalomarques,1,0
396,xahirulshaxmi,1,0
397,starbucksmy,0,1
398,megelison,2,6
399,bookstrofficial,0,2
400,bilayerbi,1,0
401,bryanquerales,3,0
402,xnanoux2,1,0
403,jtbldn,0,1
404,lukageets,1,0
405,lcmorgan43,0,1
406,shoggoth_roof,4,0
407,sepuedevivir,0,1
408,gustavopecoraro,0,1
409,elvahido,0,1
410,laoncediez,0,1
411,mateuspatussi,1,0
412,sandinossauro,0,1
413,thekwomanrules,10,0
414,asieduedmund,0,1
415,andyaucd,0,1
416,catiamalaquias,0,1
417,debraruh,0,1
418,lminyeg,0,1
419,mmacseing,0,1
420,mcnhlapo,0,1
421,dominickevans,0,3
422,promotedparent,0,1
423,willowgreen1,0,1
424,frommsb,1,0
425,katys_old,3,0
426,unplacedpodcast,7,0
427,pocketcasts,0,2
428,mollywoodstock,0,2
429,eleanorhyde,0,2
430,regardingjosh,0,2
431,shomarq,0,2
432,wilw_writes,0,2
433,_kathytu,0,2
434,gutembergrojano,2,0
435,ramon36069,2,4
436,raderwardfound,2,3
437,pflag,0,10
438,aghvesagirk,1,0
439,blturkkoleksyon,0,1
440,kheiydddd,1,0
441,yomalik,1,0
442,growinupgay_,0,1
443,darby62,3,0
444,samwisesw,1,12
445,qospress,1,0
446,clundoff,0,1
447,mtvnews,9,36
448,ladygaga,0,48
449,sadpear,1,0
450,equalitytexas,0,2
451,justbringit,2,0
452,dgnoato,2,0
453,atlassian,0,2
454,larkinstreet,2,2
455,ramirezalexa94,1,0
456,nsf,0,1
457,tmwheelsup,1,0
458,betnot,1,0
459,kansasdems,0,1
460,captain_sassy__,1,0
461,yamicops,1,0
462,mijsadia,0,2
463,siriusober,1,0
464,guaglionetina,2,0
465,asmchristysmith,0,1
466,santaclarita,0,1
467,_lethalya_,1,0
468,svetlana_mori,0,1
469,ironhorseman01,1,0
470,cryinmillennial,0,2
471,ronnelfelipe11,1,0
472,eyjoshua,0,8
473,mxkaelaaaa,1,0
474,nast414,2,0
475,crimsonwolf6661,2,0
476,ginniegalido,2,0
477,paulmlad_design,8,2
478,athlonetownafc,0,1
479,bfcdublin,0,1
480,braywanderers,0,1
481,cabinteely_fc,0,1
482,damnitant,18,0
483,tracyreneejones,0,10
484,finnharpsfc,0,1
485,galwayunitedfc,0,1
486,limerickfcie,0,1
487,longfordtownfc,0,1
488,repjosieraymond,1,0
489,fairnesscamp,0,4
490,varuntheseagod,2,0
491,ytcreatorsindia,0,1
492,trinetrahg,0,1
493,newman_rosita,1,0
494,beinglgbtqpod,3,66
495,karlaperez95,1,0
496,humanascolombia,0,2
497,kaitlyn716,1,0
498,bstolemyremote,4,11
499,jacchessen,0,1
500,kadariusb2014,2,0
501,concordborn,7,0
502,acluohio,0,1
503,householderoh,0,1
504,ohiolibrarycncl,0,1
505,ncacensorship,0,1
506,penamerican,0,1
507,ncte,0,1
508,cbldf,0,1
509,mikereyes,2,0
510,andy,0,12
511,papermagazine,0,1
512,blliampayne,1,0
513,yoparalelo,1,0
514,hectorbecerrilr,0,1
515,networkboring,1,0
516,cruiseprincex,0,11
517,nyslabor,1,1
518,nysworkerscomp,0,2
519,whoseesitall,9,0
520,devduttmyth,0,4
521,tsarahagst,1,0
522,thetaskforce,9,12
523,d_oliv2,3,0
524,equalitync,0,6
525,outrightintl,0,5
526,arcuslgbt,4,1
527,genet1245,2,0
528,asliverarrow,2,0
529,carlyraedanvers,1,0
530,fnigripes,2,0
531,bmwkrm,1,0
532,nyscivilservice,2,0
533,deena_larks,1,0
534,pncnews,0,6
535,gaelher40327146,1,0
536,gabyramiirezz,0,2
537,violethues1993,1,0
538,ohheckitsbeck,0,1
539,nybusiness3,1,0
540,petemont,0,4
541,sexualhealthldn,2,0
542,cityhackneyrc,0,3
543,elft_lgbtq,3,3
544,patitalover,1,0
545,mire138,0,11
546,advo_kado,1,0
547,misterqoey1,1,0
548,bradacooper,3,0
549,akilesbilbo,0,1
550,escuelacantabra,0,1
551,maestrocarlosef,0,1
552,niquealex,2,0
553,ernesttclarkiii,0,1
554,jadeswilson,2,0
555,gcnmag,0,6
556,unamullally,0,2
557,gtc_library,1,0
558,oupacademic,0,1
559,bammmbubeeee,1,0
560,serendipitypod,7,0
561,chateaurosettes,1,0
562,mintdokaa_,1,0
563,pleasebgoodd,0,2
564,nbiassociates,1,0
565,lbc,0,1
566,morgsbirdy,1,0
567,repharley,0,1
568,ceses26,2,0
569,mimerche2014,1,0
570,divamagazine,1,4
571,lexieferriero,3,0
572,xxaliyah,0,1
573,morphebrushes,0,16
574,juviasplace,0,1
575,esperhusky,2,1
576,art_geewolf,0,1
577,glavasthomas,4,0
578,acf_lgbt,0,2
579,drm_support,0,2
580,armylgbt,0,3
581,wanonimow565150,1,0
582,zakatuche,0,4
583,origamifan388,1,0
584,realkav_p,0,1
585,frikicongafas,2,0
586,filthybear,4,0
587,zzrowe,1,0
588,trt_hamptonu,0,2
589,luis_matla,2,0
590,eroerny,0,4
591,marchalgbtcdmx,0,12
592,fire_isis,3,0
593,argo_97,0,1
594,durlerpaige,0,1
595,mircattt_,0,1
596,alltoohopeless,1,0
597,royalfamilyitnp,0,5
598,barneysny,0,3
599,pastemagazine,0,1
600,tylekurner,0,1
601,scholastic,7,8
602,masondeaver,4,3
603,kacencallender,0,3
604,billkonigsberg,0,3
605,jccortes20,2,0
606,vivianaborrelli,1,4
607,shadowhunterstv,0,5
608,thedemocrats,2,18
609,repmarygonzalez,0,2
610,dmes_stephanie,1,0
611,ponchohd,0,242
612,emanuellyf,1,0
613,vxgann,1,0
614,peachgass,1,0
615,thelifeofsharks,0,1
616,chunkydunkuk,1,0
617,mermaids_gender,0,6
618,myfaithreport,2,0
619,naidaloveyt,0,3
620,louis_tahi,1,0
621,justfortae_1995,1,0
622,satnextothefire,1,0
623,jill4allmoco,5,0
624,edtrust,0,3
625,younginvincible,0,1
626,edlocnational,0,1
627,nbjconthemove,0,1
628,glsen,0,9
629,ciinna_stiicksx,1,0
630,irinamadaleno,0,2
631,birgitss,1,0
632,womenshistory,1,0
633,joyviana_s,1,0
634,smith92118,1,0
635,june_leighton,0,1
636,harumytanajara,4,0
637,debiowens,1,5
638,gop,0,11
639,agt,0,1
640,kelleyli1974,2,0
641,theview,0,15
642,sunny,0,1
643,ao_tombo7,2,0
644,pqegroup,1,0
645,catalystinc,0,1
646,samkomskaikru,1,0
647,craryap,0,1
648,hookshot18,1,0
649,agentfitz777,0,1
650,holsz,3,0
651,jthewz,0,1
652,nationbuilder,0,1
653,aclobby,0,1
654,zabiqr,1,0
655,coachbrianc,5,0
656,equaltimesoccer,0,2
657,alipsher,0,2
658,jenlarrick,0,2
659,toriburnett,0,2
660,athleteally,0,4
661,fumokov,1,0
662,chikako33745976,0,1
663,aniblogplay,2,0
664,dgandbtweets,4,0
665,evelittlepage,5,0
666,djaneoff,2,0
667,stop_homophobie,0,8
668,rbd_ofc,1,0
669,alepreciadoo,1,0
670,thelightwecast,1,1
671,saufisworld,1,0
672,cntower,0,1
673,indkarinne,1,0
674,myfibrolifetx,1,0
675,khadijahgriffi1,4,0
676,laks_mann,0,2
677,mayoroflondon,0,2
678,ruth_hunt,0,3
679,munroebergdorf,0,3
680,t_slayer69,2,0
681,nathzjason110,1,0
682,johnbarrowman,0,3
683,jay_bird747,1,0
684,stephenld30,2,0
685,jorgebe06644053,1,0
686,thefunrun,2,3
687,enzufra,0,1
688,patymora84,1,0
689,eroesell,10,0
690,tateliverpool,0,1
691,scottmale,0,1
692,kelsey_work,0,1
693,mavinicolau,1,0
694,wichobetto,1,0
695,marlokkofirered,1,0
696,shitedgeysays,0,80
697,vaughnjackson01,1,0
698,mtehuitz,0,1
699,thesyndromemag,1,0
700,queerty,0,1
701,forumplus,2,0
702,camdencouncil,0,1
703,writelgbtq,5,1
704,amarajlynn,7,4
705,candidceillie,0,7
706,kokokunashi,1,0
707,komorebilgbt,0,1
708,ppkpaprikalucas,1,0
709,ajd0408,1,0
710,mamabearok,0,1
711,poplockedropit,1,0
712,jtfallman,0,1
713,elaine_aldea,1,0
714,manpowergroup,0,5
715,eviedrae,2,8
716,wcgiants,1,0
717,mile_by_mile,1,0
718,youtube,0,36
719,mig30m6,1,0
720,riamuyumemi,1,0
721,antootta,2,1
722,bernabebalbuena,0,1
723,agubes,3,0
724,adlsoutheast,0,1
725,knoxsheriff,0,1
726,knoxnews,0,1
727,meghanbuckleyy,2,0
728,compasswb,0,2
729,skunkbomb123,2,0
730,leo_zeke,0,2
731,kotabearclaw,0,2
732,shairys_,1,0
733,smsnmndz,0,5
734,claudesharma,2,3
735,rainbowcamp,0,4
736,welcomefriend,0,4
737,dcmarti1992,2,0
738,bifuriouspod,1,0
739,anchor,0,1
740,fanslimerick,2,0
741,limerickmitch,0,1
742,ixannys,1,0
743,amorportilla,1,0
744,nubyafreitas,1,0
745,lbarramz,1,0
746,sarayatenas,0,2
747,glbeacon,2,0
748,tigers,0,1
749,rec_detroit,0,2
750,premming1,1,0
751,mllatee,1,0
752,iamcivildeb,11,0
753,bartolomeo_lisa,0,3
754,jrtpld,0,3
755,denise59601,0,3
756,shybernie,0,3
757,tees4lgbt,0,3
758,dianner22958158,0,3
759,losttimberwolf,0,3
760,trevorlewoof,0,1
761,latinxnow,1,1
762,pabllovittar,0,11
763,americanashops,2,0
764,godslovenyc,0,7
765,razofthelake,1,0
766,cmdonovann,0,2
767,atomjenkins,1,0
768,pppppw_s,1,0
769,irene32658327,2,0
770,nleo1234,1,0
771,thelexp,0,1
772,clem_fruit,1,0
773,jdmar3,1,0
774,lgbt_activist,0,3
775,sherylarb,1,0
776,cfsem,0,1
777,benwinslow,6,2
778,slco_council,0,1
779,fox13,0,5
780,purpleviktim,1,0
781,usgpriddylib,1,0
782,usgstudentlife,0,1
783,davidzorban,1,0
784,jesperhelt1,0,2
785,carolinesalfati,1,0
786,ranpolovemail_,1,0
787,empylovetohate,2,0
788,erikamendoza028,1,0
789,amifromindia,3,0
790,google,0,3
791,wanggetson,1,0
792,cdbecka,2,1
793,tmoekepickering,3,0
794,yaffadina,3,0
795,yesmaradiaga,1,0
796,netflixwatchclb,1,0
797,netflixsa,0,1
798,suswhiteboy,1,1
799,bobbyriverstv,2,0
800,comedydaddy,0,1
801,devilishmoo,1,0
802,shethority,0,3
803,harvey63906789,1,0
804,changuittoo,1,0
805,elclosetlgbt,0,4
806,kaliekreggory,6,0
807,victoriaroddel,7,2
808,theadvocatemag,0,93
809,pinknews,0,9
810,monsta_xhyw,1,0
811,chavinsalva,1,0
812,e_r_o_h_w,7,0
813,naomismallsduh,0,2
814,worldofwonder,0,3
815,outmagazine,0,89
816,noobde,0,3
817,alexcvlector,2,0
818,axel_scastro,2,2
819,xways1,1,0
820,kzm06c,0,1
821,love4ulot,4,0
822,cocut_lgbti,0,1
823,boy_cummings,1,0
824,marlon_72431,0,1
825,danskinnerart,7,4
826,officialwillow,0,4
827,jadajae21,0,2
828,seanghio,1,0
829,lgsusanb,0,2
830,ggkatalaga2,1,0
831,swinepop3,1,0
832,sebastianloreto,1,0
833,procomuna6,0,1
834,bankofsf,2,0
835,kellymccown,0,1
836,mccownandevans,0,1
837,marcossgonsalez,2,0
838,livesinpages,0,1
839,splitlipthemag,0,1
840,thrifty_c,1,1
841,somoskaballeros,1,0
842,plazadiversa,0,1
843,most_hozy,1,0
844,katedrummond_,0,13
845,ratatoskry,1,0
846,qkingofdiamonds,0,1
847,__naommy__,2,0
848,dmvdaddy21,5,0
849,nastycouple41,0,4
850,couple41nasty,0,1
851,bierechan,1,0
852,irisgrestobar,0,1
853,nicolelee_18,1,1
854,nestel34,2,0
855,mtrufka,0,1
856,kouta_kou_kouta,1,0
857,joypixels,0,1
858,mimosaabrazable,1,0
859,wherermycookies,1,0
860,turburvi3robert,2,0
861,priscillatouruk,0,1
862,mrjoemcfadden,0,1
863,laraabdallah,2,0
864,luluwalcott1,1,0
865,variety,0,3
866,anthonylcarter,1,0
867,smug2004,7,5
868,frankmugisha,1,4
869,opimva,0,3
870,richardlusimbo,0,2
871,gaystarnews,0,2
872,kuchutimes,0,2
873,phyllees,0,2
874,far_uganda,0,2
875,se4realhinton,1,0
876,alnfnc,1,0
877,samsungbrasil,0,8
878,callmezicarus,1,0
879,maritouche,1,0
880,cooly_number1,1,0
881,patdkaylee,0,1
882,malecfxnatic,2,0
883,innocentgilr,2,0
884,toridignan,2,0
885,yarimcorrea,0,1
886,kennedyddoftx,0,1
887,muxicc_91,1,0
