id,label,n_tweets,n_mentions
7128,manueladoriani,0,1
7129,gisb_sus,1,0
7130,mikiyduarte,0,12
7131,polwp,1,0
7132,aldo_rovi,3,0
7133,alexbardi22,0,3
7134,laspinanf,0,3
7135,pdnetwork,0,4
7136,moogbutts,1,0
7137,lucia65937961,1,0
7138,desamparadosb,1,0
7139,logicaprogre,0,13
7140,jimmyspolitics,1,0
7141,unitednightout,0,2
7142,conanbnuna,1,0
7143,icejiinhalamy,0,110
7144,jordiakalaj,2,0
7145,adacolau,0,2
7146,guiguipang,1,0
7147,niobeia,1,0
7148,damemagazine,0,5
7149,rr_bkmk,1,0
7150,clairemclough10,1,0
7151,roadistr,0,1
7152,nox__m,1,0
7153,camachoalizee,2,0
7154,haytormmg,1,0
7155,collegewellness,2,0
7156,ktstskkv,1,0
7157,mukjii,1,0
7158,95yutoid,1,0
7159,buhojedi,5,0
7160,diixyperez,1,0
7161,diegojmateos,1,0
7162,scentvegan,3,0
7163,fathamstermusic,0,1
7164,uuuniversedust,0,1
7165,sqcforg,0,1
7166,hilaryp81225735,1,0
7167,thestevefund,0,3
7168,keywestphoenix,1,0
7169,mayoclinic,0,9
7170,natalia37607349,1,0
7171,ciudad_magazine,0,3
7172,maika66route,1,0
7173,aleja_271113,1,0
7174,virationer,2,0
7175,knn_dragon,1,0
7176,diputadosmorena,1,1
7177,mx_diputados,0,2
7178,picolina69,1,0
7179,comentaconjose,0,2
7180,isaacguila,1,0
7181,ercbalsareny,0,1
7182,patrioticprogr1,1,1
7183,xychelsea,0,2
7184,lgtbnews,2,0
7185,harris44_tl,1,0
7186,timtravels007,0,1
7187,meyonnaizzz,1,0
7188,campaign_purple,1,0
7189,camarada_ch,2,0
7190,irongrone,0,1
7191,alianzaantifa,0,1
7192,ybaker15,1,0
7193,frenterojony,1,0
7194,gemmathefucker,1,0
7195,albagarnie,0,10
7196,ilovebilliestat,1,0
7197,realjiew,1,0
7198,tere_crespo_,1,0
7199,udon__es,0,1
7200,kasunyanne,1,0
7201,cheskatheginger,1,0
7202,fanstefanitarra,1,0
7203,stefani_tarrago,0,1
7204,simonacroisette,1,0
7205,mtvitalia,0,2
7206,profabedul,1,0
7207,mynameizhazel,1,0
7208,justcallmetora,1,0
7209,azulasbitch,1,0
7210,susi_mae_,1,0
7211,wolfaenlibertad,1,0
7212,friendlymom2,1,0
7213,tinchoperez123,2,0
7214,tinistoessel,0,6
7215,typetle,1,0
7216,memookda,1,0
7217,irene_dancer,1,0
7218,colectivonormal,1,0
7219,surveyassemble,1,0
7220,chelseafinbow,0,1
7221,anasanzera,1,0
7222,alejandrosanz,0,5
7223,pabloculellok,3,0
7224,antena3com,1,4
7225,c_dollychan,1,0
7226,dolce_gattino,2,0
7227,mnrk1998,1,0
7228,jxris___,2,0
7229,pepi_almagro,1,0
7230,albertoboix6,1,0
7231,andreaturros,1,0
7232,aturros,0,1
7233,ffaaffaa_xy,1,0
7234,ygritte_snow,6,0
7235,mercavalencia1,0,3
7236,lambdavalencia,0,3
7237,fesord,0,3
7238,ajuntamentvlc,0,3
7239,generalitat,0,3
7240,felgtb,0,4
7241,aye_faybrie,1,0
7242,jareddeith,1,0
7243,lelism_,1,0
7244,ufvbr,0,19
7245,alicesnvs,1,0
7246,recordingacad,3,1
7247,brandonstansell,0,1
7248,yguerraa,1,0
7249,deiser,1,0
7250,aledoo,0,1
7251,mathfreireb_,1,0
7252,mayaalarcon8,2,0
7253,elenajg6,0,2
7254,lidermanminas,1,0
7255,kikegarciau,1,1
7256,rapheal_design,1,0
7257,sunflourx,1,0
7258,bayoumoonbeam97,1,0
7259,tcmassie,0,1
7260,nara6000,1,0
7261,boltwvan,1,0
7262,ignaciolobello,2,0
7263,purposefulself,1,0
7264,eddydepretto,0,1
7265,vom_mond,1,0
7266,iipixa,1,0
7267,pastorasoler,0,7
7268,njlefty67,1,0
7269,davy_ac,1,0
7270,choquedeletras,1,0
7271,mikeyfdez,0,1
7272,andrewmorrisuk,2,0
7273,supportedloving,0,2
7274,peopleinaction,0,2
7275,juampialegre,2,0
7276,osinvalle2,1,0
7277,yourboyjeroy,2,0
7278,evianwater,0,2
7279,crisalcif,2,0
7280,by_franky,4,0
7281,overdoseaswell,1,0
7282,nejihyuga155,0,1
7283,1sun_cyrus,1,0
7284,green_knight,1,0
7285,albertomclatas,1,0
7286,farkus40735273,1,0
7287,frikeast,1,0
7288,nicofdez35,1,0
7289,faithjusticenow,1,0
7290,jamesmartinsj,0,2
7291,psicomatu,1,0
7292,iti_malina,2,0
7293,governodabahia,0,2
7294,justicasocialba,0,2
7295,gumgumbprvv,1,0
7296,o_oli_olive,2,0
7297,danielusky1,2,0
7298,iluvstationeryx,1,0
7299,rayaalcaide,1,0
7300,rietyrive,1,0
7301,psclassics,1,0
7302,malcolmgets,0,1
7303,flightyhandful,1,0
7304,arrobavictoria_,1,0
7305,miliandino18,1,0
7306,chiewyallaround,1,0
7307,irenezamek,1,0
7308,peerayaaaa,1,0
7309,enrcasanova,1,0
7310,znstar_,1,0
7311,foglittergaming,2,0
7312,jacobar,0,1
7313,comunidadgayczm,2,0
7314,colombohartmann,1,0
7315,balburdeiros,0,1
7316,carmen63090437,1,0
7317,meganslayer,2,1
7318,wendizwaduk,0,1
7319,cz_1505,1,0
7320,cmonzther,1,0
7321,hausofsharlie,3,0
7322,saralihuaap97,1,0
7323,acacias38_tve,0,3
7324,pixarru,2,0
7325,_screemface_,0,1
7326,_radioro_,0,1
7327,pimpalalla,1,0
7328,llus_1,1,0
7329,lecinema_,0,7
7330,danielalfc,1,0
7331,jgriggs3191,1,0
7332,coyumusic,0,3
7333,magaron_yiw,1,0
7334,sentencebender,5,1
7335,shekels_library,0,1
7336,missdahlelama,0,1
7337,timothyjaysmith,0,1
7338,tepitohoy,1,0
7339,cgenfermeria,1,1
7340,denfermero,0,2
7341,cartera8,2,0
7342,_alcaloide_,0,2
7343,davidperez,0,2
7344,kleibermarchan_,1,0
7345,kiketoro,0,1
7346,lauren_hafley,1,0
7347,indie_sunshine,1,0
7348,yellowbillion,1,0
7349,maria00010,1,0
7350,jessecoffey15,1,0
7351,lynnsanitypage,0,1
7352,donalddrumpfwtf,1,0
7353,srjeanmarc,1,0
7354,siilviia_0,2,0
7355,tom_jurassic,2,0
7356,nhmdinolab,0,1
7357,warnermusicde,2,0
7358,milk_and_sugar,0,1
7359,ukshapeshifters,0,1
7360,19xxbeantown,2,0
7361,tsimmonsnm,1,0
7362,nmfinancial,0,7
7363,mscheln,1,0
7364,rosebousamra,0,1
7365,leafwork,0,1
7366,iiinp,1,0
7367,octagomesanta,1,0
7368,ana_garrido73,1,0
7369,ppandaluz,0,2
7370,brwneyesgrl0319,1,0
7371,m_meenmm,1,0
7372,neilreavey,2,0
7373,hazy121,0,1
7374,ppoleiros,1,0
7375,veronicamsx,1,0
7376,aleixen__,1,0
7377,50bowery,1,0
7378,space,0,1
7379,marinacuevasc,1,0
7380,silviagomez991,0,2
7381,garotinhoputo,2,0
7382,emelyechaucer,1,0
7383,chalisarm,1,0
7384,okaki_lily,1,0
7385,pungyo3o,1,0
7386,springinsfeldje,1,0
7387,leblogtvnews,0,1
7388,johnnylemmon,2,0
7389,educacaobahia,2,0
7390,adrimira,1,0
7391,aytologrono,0,1
7392,sampedrina,1,0
7393,vr0k3n,2,0
7394,anhk761,1,0
7395,antena3int,0,4
7396,naath_cardozo,1,0
7397,soveryqueer,1,0
7398,privateopinion9,1,0
7399,rafazambranasvq,1,0
7400,nahuimx,1,0
7401,dos_nossa,2,0
7402,_miss_amelie,0,4
7403,beaconpressbks,1,0
7404,scottwstern,0,1
7405,geist_viazza,1,0
7406,lugaresgaycba,1,0
7407,sexpoerotica,0,1
7408,palaloylz,1,0
7409,beatrizsr7,2,0
7410,trotskykid,1,0
7411,_sgqueenie,1,0
7412,aesirwin,0,1
7413,bydudacristina,1,0
7414,lourlourdes,6,0
7415,latinamericar,0,1
7416,fogginsophie,0,1
7417,whoyouareimyou,1,0
7418,pocket_warrior,1,0
7419,explayarte,6,0
7420,pdelcarmentv,0,1
7421,pdelcarmenmx,0,1
7422,twittplaya,0,1
7423,playahit,0,1
7424,bandaplayense,0,1
7425,playaenmano,0,1
7426,luishii23,2,0
7427,mrtskaren,1,0
7428,minato_china,1,0
7429,nindot_tawo,1,0
7430,maximorey16,1,0
7431,biurrun74,1,0
7432,philcobizzle,1,0
7433,nashvillepride,0,1
7434,hiideeandseek,1,0
7435,wan_pemika,1,0
7436,kurestinarmada,1,0
7437,torbooks,0,5
7438,_pkmtp_,1,0
7439,fabrico5,1,0
7440,safelibraries,8,0
7441,bklynlibrary,0,2
7442,dqshtweets,0,1
7443,astrazeneca,0,2
7444,mtoothman,1,0
7445,truecolorsunite,0,5
7446,scottymcglynn,2,1
7447,marleymedical,1,0
7448,nadia_nadia_lov,0,1
7449,inteer999,1,0
7450,carrarofabio69,0,1
7451,marilomallo,1,0
7452,valer10asr,1,0
7453,felipepuntarron,3,0
7454,laura_ms01,0,1
7455,tmstar_00,1,0
7456,nutanixjapan,0,1
7457,judit85843930,1,0
7458,neiglv,0,1
7459,rayjsucks,1,1
7460,wubsnet,4,0
7461,lic02,2,0
7462,itgetsbettermx,0,1
7463,mexicoyaaj,0,2
7464,ritchiesick,1,0
7465,suaramusic,1,1
7466,cabelrom,1,0
7467,mariahache2_,1,0
7468,quimsensek,1,0
7469,adhealthcenter,1,0
7470,mateuszczerkas,2,0
7471,benifaiocomunic,1,0
7472,aj_benifaio,0,1
7473,torojacqui,1,0
7474,lucia_pb13,1,0
7475,estrellagalicia,0,4
7476,see_starling,1,0
7477,mateoquitoa,1,0
7478,tomvillota,0,1
7479,francoparisi19,1,0
7480,grcne,1,0
7481,commrrcmpgrc,0,4
7482,dimplesmx,1,0
7483,ssrc_org,1,0
7484,steinarlene,0,1
7485,abuelo_longinos,1,0
7486,populares,0,1
7487,ccprltd,2,0
7488,artiqtweets,0,1
7489,aktcharity,0,9
7490,maddyezinha,1,0
7491,andreafrostland,0,1
7492,aldarapelaez,2,0
7493,heizuren,1,0
7494,joaq_fernandez,2,0
7495,sr_perezoso06,1,0
7496,spanishmen_1970,1,0
7497,jamalbarakat,2,0
7498,sanofi,0,3
7499,yukino10akari,1,0
7500,sfmzlf,1,0
7501,mysystemfault,0,1
7502,cdesimsolange,1,0
7503,isetapm,0,1
7504,tudublibraryast,1,0
7505,wearetudublin,0,1
7506,elisendatgn,1,0
7507,herograytairs,1,0
7508,cds_worldwide,0,1
7509,kelvinnnnnn3,1,0
7510,jaumecl98,1,0
7511,itiskolo,1,0
7512,captainrodes,2,0
7513,girlmom71,1,0
7514,kromekoda,1,0
7515,diymfa,1,0
7516,electriclit,0,2
7517,loli_1510,1,0
7518,leafylizard,1,0
7519,piliiiii1202,1,0
7520,jiramayer,1,0
7521,chefmphillips,1,0
7522,toolshedbeer,0,1
7523,spacedog_1,2,0
7524,isbeauvoir,1,9
7525,juanrhendon,1,0
7526,fedemore,0,2
7527,zaddyjoe,1,0
7528,tobylilims,0,1
7529,juanorimu,4,0
7530,laxarxaxanante1,0,1
7531,twittwalking,0,1
7532,jopela2,0,1
7533,gerardmas,0,1
7534,lausenberg25,1,0
7535,luciapv28,0,2
7536,vanapollogize,1,0
7537,rotasizkaptan98,1,0
7538,lezbiyeny,0,1
7539,mandalayt,1,0
7540,potterrowling97,1,0
7541,rkivetreasure,1,0
7542,efyxsantos,0,2
7543,landogoeswest,1,0
7544,kcihccihc,1,0
7545,soyfetus7_0,1,0
7546,juliantinaesp,0,2
7547,rissareptaar,1,0
7548,ferudita,1,0
7549,lautiiim16,1,0
7550,munavlogs,1,0
7551,piliabellan,2,0
7552,georgearztcomm,2,0
7553,jcdecauxglobal,0,1
7554,cocacola,0,1
7555,isamorill,1,0
7556,vladidominguez,1,0
7557,mamamootrash6,1,0
7558,4everaza,1,0
7559,4thexplanition,1,0
7560,mikeoloughlin,0,6
7561,humpry13,1,0
7562,14_heleniuska,1,0
7563,nutji_waew,1,0
7564,s_miranda8,1,0
7565,opeachums,1,0
7566,gadchetopierna,1,0
7567,lesiellecos,0,1
7568,rusairina2019,2,0
7569,grownyc,2,0
7570,nycmayorsoffice,0,8
7571,ritudhara7,7,0
7572,sonamakapoor,0,9
7573,parmeshs,0,9
7574,luv_polly,0,8
7575,anjalilama00,0,8
7576,elleindia,0,8
7577,twitterindia,0,8
7578,twitter,0,9
7579,njulpisit,1,0
7580,brutmajeur,1,0
7581,rojinegromur,1,0
7582,velvetsilk,1,0
7583,cone,1,1
7584,mati24953814,1,0
7585,cr8marta,0,1
7586,palomafisio,1,0
7587,wikicr,0,3
7588,roshamboprods,2,0
7589,womenoccupyhwd,0,1
7590,violadavis,0,1
7591,djtonytoni,1,0
7592,alvxfenty,2,0
7593,viola_tiger,1,0
7594,namanch76042871,7,0
7595,benroelle,1,0
7596,justinapanchuk,1,0
7597,apapsychiatric,1,0
7598,gsandra3105,1,0
7599,jaumemayor,0,1
7600,mrsquaye,1,0
7601,michaeljfoxorg,0,2
7602,lucianogales14,1,0
7603,phyreflye,1,0
7604,popcollab,3,0
7605,joseiswriting,0,1
7606,defineamerican,0,1
7607,mashable,0,1
7608,haycote,2,0
7609,tfl,0,1
7610,bancamadrid,5,0
7611,anti_banca,0,1
7612,ecesmad,0,1
7613,atoses,0,1
7614,tamaraayalam,0,1
7615,juliaatwater,0,1
7616,samplear,1,0
7617,cecastroramos,0,1
7618,srpacotomas,1,0
7619,playz,0,1
7620,johannaizurieta,2,0
7621,raphaeruillust1,1,0
7622,karenina_flores,1,0
7623,lucasmz7,1,0
7624,occxlt,0,14
7625,ichirotung,2,0
7626,ilmvfx,0,2
7627,sfgov,0,1
7628,j30njun6k00k_02,1,0
7629,ticketgoar,0,8
7630,_ttrueblue,1,0
7631,jamprocha,1,0
7632,lola_lucca,1,0
7633,venversa26,1,0
7634,micmusicpassion,1,0
7635,danicarceles,1,0
7636,sui_generis6,1,0
7637,all435reps,2,0
7638,jimlangevin,0,1
7639,andrubangtan,1,0
7640,kartased,1,0
7641,11aug_,1,0
7642,pedrojdoc,4,1
7643,nunumiguele,0,5
7644,metheridge,0,2
7645,aroacm,1,0
7646,dpceledon,1,0
7647,alinapraia,1,0
7648,creativiamk,0,1
7649,bt9012001,1,0
7650,fredrikvalham,1,0
7651,robertschonbeck,0,1
7652,singsalad,1,0
7653,almu_mendoza,1,0
7654,anasofiroca,1,0
7655,seregalandudas,0,1
7656,vptt_,1,0
7657,jmarquessoprano,0,68
7658,martafdezr_,1,0
7659,clauuuuurs,1,0
7660,yahaira_salinas,1,0
7661,_desubicada,1,0
7662,luciarg00,1,0
7663,makilemoncandy,1,0
7664,carocamdiaz,1,0
7665,paulagomez_20,1,0
7666,cheltzygat,1,0
7667,andrealedo6,1,0
7668,maarfernanddez,1,0
7669,carlson9_tanner,1,0
7670,bdm_991,4,0
7671,ollosdesal,1,0
7672,lilmillan87,1,0
7673,012025xts,1,0
7674,itsnatmartinez,1,0
7675,mlmental,1,0
7676,mdelaptaboada,1,0
7677,nuriasaurac,1,0
7678,maaargareet,1,0
7679,quiqueriv,1,0
7680,anbeond,1,0
7681,starkrob21,0,3
7682,yum_coke,2,0
7683,deinertscuban,1,0
7684,5h_officialjp,0,3
7685,_talesub,1,0
7686,balentxegi,1,0
7687,bethoove,1,0
7688,1conservadog,1,0
7689,_claualonso,1,0
7690,marinaa5cm,1,0
7691,nydiavelazquez,1,0
7692,housesmallbiz,0,1
7693,gonzatorres_01,1,0
7694,nataliaglz30,1,0
7695,plammyelf,1,0
7696,ffacu17,1,0
7697,pkthsone,1,0
7698,tintodeverano36,1,0
7699,lavirgen11,1,0
7700,wrkclasshistory,0,2
7701,nachi_bonetto,1,0
7702,paulinepark,0,1
7703,ebditnm,1,0
7704,phhhhhhhja,1,0
7705,john_g_horgan,2,0
7706,porternovelli,2,0
7707,luciammerino1,1,0
7708,paulinehaughcop,1,0
7709,clexacon,0,5
7710,paalomavera,1,0
7711,manu27ss,1,0
7712,angrod69,1,0
7713,m111k3y55,1,0
7714,miriamsanders96,1,0
7715,musaalafuga,1,0
7716,isabelblancol,1,0
7717,albaalara13,1,0
7718,arkaitx14_4_69,3,0
7719,orange_esrsc,0,1
7720,msobrinof,0,1
7721,mabluuuu,1,0
7722,homeistheheart1,2,0
7723,oddlysat1sfy1ng,1,0
7724,cathymontano25,1,0
7725,sorseli,1,0
7726,growlinatthesun,1,0
7727,jcoolero,1,0
7728,_ambrose_28,0,1
7729,tinslamh,1,0
7730,solchumilanesi,1,0
7731,bardenera,2,0
7732,aunzug,0,1
7733,parlamentona,0,1
7734,philiphonour,1,0
7735,pn_so_cal,0,1
7736,gingerkilwie,1,0
7737,kaiiskora,0,1
7738,ithasant,1,0
7739,podcastfbonus,0,1
7740,cuqui4ever,1,0
7741,mrmermaido,1,0
7742,itshuntsliam,0,2
7743,neus_ps,1,0
7744,nemesys08857673,1,1
7745,passionpoints_,1,0
7746,adidasmx,0,1
7747,millertime_1989,1,0
7748,ramiro1504s,3,0
7749,pablocardozoh,0,1
7750,guiarandaa,1,0
7751,martagmzc,1,0
7752,yvaelterceroo,1,0
7753,marmerbc,1,0
7754,lauvmin,1,0
7755,miss_patriciah,1,0
7756,golducklett,1,0
7757,alterpeter__,1,2
7758,mx_iakkhe,15,1
7759,aimeemaroux,1,4
7760,authorrowan,0,2
7761,beaudoin_travis,0,1
7762,ashtonlake4,0,1
7763,kcbloomwrites,0,1
7764,serenajenk,0,1
7765,antinousgaygod,2,1
7766,annestaggwrites,0,1
7767,chaseconnor7,2,3
7768,tc_dale,0,1
7769,jvaljeanauthor,0,1
7770,lovelesseliza,0,1
7771,harleylaroux,0,1
7772,stroudle2,0,1
7773,memoiart,1,0
7774,carlabaixauli1,1,0
7775,clockheart_,1,0
7776,lauuri21,1,0
7777,lwtmlnson,2,0
7778,omidtorres1,1,0
7779,curiosidadesop,0,3
7780,paulaghadban,1,0
7781,merceddesmorale,1,0
7782,negrovergon9,1,0
7783,farroludmi,0,1
7784,xbruisedpeachx,1,0
7785,tonagu2,1,0
7786,yuquitas20,0,1
7787,lucia_ortz,1,0
7788,alwaysdramatize,1,0
7789,wheelofchange,1,0
7790,joey368616,0,1
7791,julietallorens,1,0
7792,exo_lizard,1,0
7793,crecalatayud,0,1
7794,andreasnchez_10,1,0
7795,sori_the_lemon,1,0
7796,teresa22315709,1,0
7797,jessscotlandfan,13,0
7798,booblovingbabe,0,2
7799,abiratchford,0,1
7800,sccsmr,0,2
7801,stu007gots,0,1
7802,mr__damo,0,1
7803,mrmagios,0,1
7804,grazuspapai,0,1
7805,virtuass,0,1
7806,bigtitbabes,0,1
7807,justwowwow,0,1
7808,4669beaches,0,1
7809,himatottenham,0,1
7810,srta_h,1,0
7811,coecadiz,2,0
7812,dante_vulcan,1,0
7813,fconocturnaspy,1,0
7814,imbelling,1,0
7815,treatpplkindly,2,0
7816,mexicandae,1,0
7817,platiying95,1,0
7818,santabadajoz,0,2
7819,frankie61406891,28,1
7820,ianmckellen,0,3
7821,housing21,0,1
7822,ageingwithpride,0,3
7823,ageingbetterbhm,0,1
7824,birminghampride,0,3
7825,pridecov,0,4
7826,wmaslgbt,0,1
7827,wmplgbtnetwork,0,1
7828,wmpdogs,0,1
7829,westmidspcc,0,1
7830,nxwestmidlands,0,1
7831,brumlordmayor,0,1
7832,mayorwestmids,0,1
7833,westmids_ca,0,1
7834,tesselleon,1,0
7835,srgg07,1,0
7836,akilamantado,1,0
7837,lere_hurtado,1,0
7838,emilio_sangenis,1,0
7839,estebanlanzani,0,1
7840,jfabellajover,1,0
7841,mrcbelcher,1,0
7842,thegsal,0,1
7843,sannounohaha,1,0
7844,whooevenknows,1,0
7845,soffimoon,1,0
7846,taemelonr,1,0
7847,ryansli_,1,0
7848,ramiro_echeniqu,2,0
7849,jewelriders,1,1
7850,kingovation,2,2
7851,thepatron_saint,1,0
7852,jimenez_gema,2,0
7853,vero_juguera,1,0
7854,guerrawmichele,1,0
7855,esposftvittar,1,0
7856,gabrielderina,1,0
7857,jancayanga,0,1
7858,antisoocialkid,1,0
7859,kokkichi,1,0
7860,consumg72,1,0
7861,adri47001252,0,1
7862,barbarassound,1,0
7863,caarlosmndza,1,0
7864,clauuaidee,0,1
7865,maragalvn,1,0
7866,ile_sucarrat5,1,0
7867,titaniumfairy,2,0
7868,mariia_jf,1,0
7869,pabloprietotero,0,1
7870,orangeesportses,0,17
7871,lindaheartoftx,1,0
7872,ginggongkeaw,1,0
7873,susavermartin,1,0
7874,kevintomiranda,1,0
7875,cami_mezap,1,0
7876,caramonm,0,2
7877,justicepoetique,1,0
7878,myflamesbegin,1,0
7879,quebebovillegas,0,12
7880,ssandraguerra_,1,0
7881,trisk_yl,1,0
7882,mrrbrightside_,1,0
7883,jorgeoubel,0,2
7884,ailendomingue13,1,0
7885,vicky_pearce,1,0
7886,theartofbklyn,3,0
7887,news12bk,0,1
7888,patkiernan,0,1
7889,nycservice,0,1
7890,elmentalista11,1,0
7891,lluquino,1,0
7892,gudi_jk,1,0
7893,drzrz,1,0
7894,martalq1,1,0
7895,cris_martinez18,1,0
7896,mercede05342801,1,0
7897,maitebworld,3,1
7898,_kooga,0,1
7899,maiteoficial,0,105
7900,iloveyourlied,1,0
7901,lau_gaarcia,1,0
7902,niinaa2332,3,0
7903,carlacs96,4,0
7904,pirata_sabio,1,1
7905,jodunwell73,1,0
7906,_kchkr,1,0
7907,mikixjou,1,0
7908,mairmontoya,0,1
7909,turnerwishes,1,0
7910,aquisehablae,2,0
7911,diazricardo94,0,1
7912,vicarriyu,1,0
7913,unconquerable,1,0
7914,cristianamor,1,0
7915,nievesarmario,1,0
7916,_lauratortola,1,0
7917,mpgrcia,0,1
7918,hem_jiji,1,0
7919,sanofirci,2,0
7920,andreapaapa,2,0
7921,ileanaaracelii,1,0
7922,vanaver8,1,0
7923,sofichover,2,0
7924,kaluapiscis,1,0
7925,andreama_10,1,0
7926,laucstrll,1,0
7927,jorgecaneja,2,0
7928,tworsinderrick,1,0
7929,uncpublichealth,0,1
7930,wshumar,14,0
7931,arista_90,1,0
7932,ana37454709,1,0
7933,alejandroparre,0,1
7934,by_tani,1,0
7935,raulmstsc,1,0
7936,jc_daydream,1,0
7937,juanjosevillaxo,1,0
7938,nielonesia,2,0
7939,kaisarcaesar_,0,1
7940,voladoraserial,1,0
7941,connieansaldi,0,1
7942,silviacortes95,1,0
7943,loriuc2,1,0
7944,bellopesss,1,0
7945,redeqmuyeres,1,0
7946,verdejomar,0,1
7947,ribas_pepe,1,0
7948,monicahache1,1,0
7949,erranteroja,1,0
7950,lbra930,1,0
7951,canal_sonymx,0,3
7952,apege9,1,0
7953,ktrons1,1,0
7954,hoteleskinky,0,2
7955,samantafarjat,1,0
7956,kiwita,0,3
7957,luciitaruiz,1,0
7958,m0sra,1,0
7959,atogamarra,1,0
7960,zoemartinezz2,1,0
7961,gabrielatraver,1,0
7962,ryeodictator,1,0
7963,jayrisart,0,1
7964,alterwayo,1,0
7965,rocigc_99,1,0
7966,osonegro01,1,0
7967,yordienexa,0,1
7968,rekhilperts,3,0
7969,alchahest,1,0
7970,paulahomar7,1,0
7971,ilcastiga,2,0
7972,ansa_lifestyle,0,1
7973,agenzia_ansa,0,1
7974,cmd366,1,0
7975,marigodiva,1,0
7976,eduarrrl,4,0
7977,robkingiii,1,0
7978,manuel_vilches,1,0
7979,iiizaxiii,1,0
7980,monkeybone64,1,0
7981,writetocamila,1,0
7982,omnicom,2,0
7983,newalternatives,0,1
7984,ejw_org,1,0
7985,dustylamay,0,1
7986,palabrademael,1,0
7987,pabloestebanok,2,0
7988,tiempofueguino,0,1
7989,ushnoticias,0,1
7990,claudettecrabe,2,0
7991,dedee83,0,2
7992,alex76garcia,1,0
7993,kikaperaza,1,0
7994,sansa___,1,0
7995,albertswift13,2,0
7996,cloud_skypass,1,0
7997,breepainen,1,0
7998,childrenblessed,4,1
7999,triggeredmovie,0,1
8000,strangeramong,0,1
8001,alanshitoh,1,0
8002,aldaragoat,1,0
8003,sabelavazquez,0,1
8004,anacum3,1,0
8005,5martamartinez,1,0
8006,lelf51,1,0
8007,matx_always,1,0
8008,josito__,1,0
8009,antonioayu,1,0
8010,zola,0,1
8011,wearenobleppl,0,1
8012,rojarojae,2,0
8013,diverseelders,3,1
8014,theatlantic,0,2
8015,akiraay10,1,0
8016,sopitas,0,27
8017,vianeycortez8,1,0
8018,patrigm98,0,1
8019,belindacarvajal,1,0
8020,niobeacua,0,1
8021,andrea_yuca,1,0
8022,lurdes_sanchezz,1,0
8023,officialdineshn,1,0
8024,mar88207499,1,0
8025,ezinegonax1,1,10
8026,yaspereirah,2,0
8027,sapatoniars,0,3
8028,cocacola_br,0,3
8029,721aniita,1,0
8030,acass23,1,0
8031,justrooxywords_,1,0
8032,eaccny,1,1
8033,giluvr,1,0
8034,gcarrotibiletti,0,1
8035,chely_pocket,1,0
8036,mxmadrid_tv,1,0
8037,davidenguita,1,4
8038,_monstermayy,1,0
8039,japanesexxx,1,0
8040,eu_fagner,0,1
8041,butmuhrussia,1,0
8042,fanoffall1923,0,5
8043,yoonseokotpp,1,0
8044,medplusoficial,0,1
8045,allyherondale1,1,0
8046,the_doge,1,0
8047,drivenbytatiana,1,0
8048,definitelyvita,0,3
8049,emeraudepeixes,1,0
8050,zeusali4,1,0
8051,vicen86,0,2
8052,jfacsua,1,0
8053,wired,0,1
8054,milanabonita1,1,0
8055,michiberrocosa,0,1
8056,rosariodelmora2,1,0
8057,gadeaalonso_,1,0
8058,kirskirsi,4,0
8059,kaarina_ks,2,1
8060,saaraaalto,0,4
8061,virginatlantic,0,1
8062,virginholidays,0,1
8063,hendrik_hoefgen,1,0
8064,zachtack4,1,0
8065,contrivision,0,1
8066,misslintu,1,0
8067,ka_k_itosougo,1,0
8068,shesath1nker,1,0
8069,candelagiusta1,1,0
8070,maaaria28_,0,1
8071,gabiheck_,1,0
8072,mary_burakku,1,0
8073,gonzalorivera,1,0
8074,sofiacarrilloz,0,3
8075,hd_alyssa,1,0
8076,yukikoyuki2525,2,0
8077,luvillaalba,1,0
8078,y_a_de_la_joie_,1,0
8079,lautremarc,0,1
8080,diario_16,0,2
8081,nalu_belo,1,0
8082,rociopizab,2,0
8083,superfrog89,1,0
8084,martha_elena16,0,1
8085,eadeboestauthor,1,0
8086,alexiaasanchez,1,0
8087,lorencl,0,1
8088,mikeldsmith1,1,0
8089,theonion,0,1
8090,sebacirone,1,0
8091,lulaperuca,0,1
8092,guardianyoshi,1,0
8093,maiabomb,1,0
8094,ahgasae98,1,0
8095,inspiracambioac,5,1
8096,m3wo,0,1
8097,parisbangbang,0,1
8098,alejandrocastx,0,1
8099,chacalitomentis,0,1
8100,ona_llum,1,0
8101,nuriapicas,0,5
8102,faunmoss,1,0
8103,marieuniceziga,1,0
8104,_peachws_,1,0
8105,aralmaiaag,1,0
8106,profetaargen,0,2
8107,claforett,2,0
8108,gamalgtb,0,5
8109,wdcustomframes,2,0
8110,truvueglazing,0,2
8111,hangingaroundh,0,2
8112,naygkr,2,0
8113,maybe_psich2,1,0
8114,jamespandaman,0,1
8115,luuzbbm,1,0
8116,consumedero,0,7
8117,kimerlyus,1,0
8118,alwomenscenter,0,1
8119,sivirprincess,1,0
8120,velvetqueenh,0,1
8121,helllo_fana,1,0
8122,sww1235,1,0
8123,h_eadache,1,0
8124,dozmynki,0,5
8125,fernchoi1103,2,0
8126,ulkixcsmhnlqnwh,1,0
8127,cicciindahouse,1,0
8128,teamiriamr,1,0
8129,lorenaandry6,1,0
8130,brunopaul2,1,0
8131,palmeralan,0,1
8132,ntllgbtmediaasn,2,0
